排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
1,00741B,富邦全球非投等債,38.0,0.0,0.0,07/27,0.13,2.95,2.95,5.0,6.7,6.7,6.7,6.7,6.7,6.7,,6.7
2,4764,雙鍵,294.5,15.0,5.37,07/27,0.58,1.24,2.0,2.49,4.43,5.58,7.92,7.79,7.92,7.92,,7.92
3,3665,貿聯-KY,2150.0,-55.0,-2.49,07/27,0.12,0.36,1.09,1.96,2.69,2.96,-0.53,-0.26,-3.66,10.2,12.0,-4.61
4,009814,富邦標普500,11.22,0.1,0.9,07/27,0.31,0.99,0.99,1.94,2.92,2.92,2.92,2.92,,,,2.92
5,4979,華星光,448.5,22.0,5.16,07/27,0.24,1.89,1.98,1.91,0.86,-0.92,-3.85,1.38,-0.22,4.36,8.21,1.03
6,3450,聯鈞,438.0,11.0,2.58,07/27,0.38,0.94,1.56,1.82,1.91,1.91,5.93,6.56,1.8,7.33,6.74,6.41
7,3081,聯亞,1805.0,45.0,2.56,07/27,0.46,1.48,1.48,1.38,0.87,-0.32,-3.01,0.09,3.64,11.5,10.7,1.45
8,00709,富邦歐洲,41.16,0.61,1.5,07/27,0.04,0.56,0.56,1.33,2.19,2.19,2.19,2.19,2.19,2.19,,2.19
9,00695B,富邦美債7-10,35.42,0.17,0.48,07/27,0.0,0.0,0.0,1.26,4.14,4.14,4.14,4.14,4.14,4.14,,4.14
10,6187,萬潤,1035.0,93.0,9.87,07/27,0.33,-0.11,-0.06,1.07,1.21,-0.1,-0.03,8.59,5.61,5.74,0.33,8.69
11,8021,尖點,390.5,20.5,5.54,07/27,-0.06,0.86,0.99,1.07,1.3,1.37,0.01,-1.24,-1.19,-1.19,-1.19,2.05
12,2542,興富發,43.5,-0.7,-1.58,07/27,0.0,0.01,0.31,0.94,1.69,2.38,6.26,5.46,5.27,2.62,2.23,5.07
13,3702,大聯大,116.0,-1.5,-1.28,07/27,0.0,0.37,0.54,0.7,0.8,3.73,-0.43,-2.33,-8.79,-8.34,-1.76,-3.35
14,3008,大立光,4090.0,170.0,4.34,07/27,0.32,0.33,0.38,0.68,1.23,0.43,2.23,1.11,3.0,2.91,2.76,1.9
15,6805,富世達,1455.0,45.0,3.19,07/27,0.16,0.31,0.5,0.66,0.39,-2.1,-7.15,-4.69,-9.13,,,-11.8
16,5274,信驊,14695.0,-35.0,-0.24,07/27,0.01,0.13,0.28,0.65,1.02,0.2,-0.59,0.93,3.21,3.04,-2.19,1.61
17,6669,緯穎,5745.0,15.0,0.26,07/27,0.24,0.6,0.51,0.62,0.67,2.45,3.68,4.21,3.86,2.28,,3.19
18,2474,可成,188.5,-1.0,-0.53,07/27,0.03,0.03,0.23,0.62,1.1,2.86,-3.75,-7.3,-15.4,0.47,11.2,-10.9
19,5871,中租-KY,120.0,0.0,0.0,07/27,0.03,0.06,0.24,0.57,1.04,0.77,5.72,4.48,-2.32,7.46,7.88,2.94
20,1560,中砂,690.0,18.0,2.68,07/27,0.36,0.36,0.36,0.54,0.3,0.61,1.14,-3.02,-7.2,2.48,3.18,-2.68
21,2360,致茂,2100.0,20.0,0.96,07/27,0.06,0.13,0.18,0.5,0.72,0.32,-0.84,0.28,2.74,3.48,4.73,-0.11
22,2912,統一超,239.5,-1.5,-0.62,07/27,0.06,0.13,0.25,0.49,0.85,0.93,6.54,4.46,4.08,8.28,8.22,4.03
23,6435,大中,260.0,-10.0,-3.7,07/27,0.0,0.0,0.0,0.48,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17
24,2376,技嘉,349.5,-5.0,-1.41,07/27,0.1,0.13,0.26,0.48,0.52,1.72,4.23,3.9,3.87,-1.62,1.58,4.02
25,7734,印能科技,3430.0,-30.0,-0.87,07/27,0.0,0.24,0.36,0.47,1.22,1.18,1.93,6.18,6.11,,,6.18
26,3653,健策,3525.0,95.0,2.77,07/27,0.05,0.2,0.3,0.42,0.66,0.35,-0.64,1.02,-2.09,-4.37,7.43,-0.38
27,8046,南電,1075.0,-35.0,-3.15,07/27,-0.01,0.03,0.14,0.42,1.15,3.25,2.72,4.75,5.02,4.77,4.76,7.64
28,2455,全新,326.5,-6.5,-1.95,07/27,0.02,0.05,0.24,0.4,0.33,0.05,4.49,4.54,-1.77,-1.84,1.56,6.87
29,009815,大華美國MAG7+,11.15,0.09,0.81,07/27,0.0,0.0,0.0,0.4,0.8,0.8,0.8,0.8,,,,
30,00645,富邦日本,57.45,1.0,1.77,07/27,0.14,0.25,0.25,0.39,0.61,0.61,0.61,0.61,0.61,0.61,0.38,0.61
31,3017,奇鋐,2400.0,20.0,0.84,07/27,0.04,0.21,0.26,0.38,0.49,1.12,0.61,2.75,0.12,-6.95,4.99,0.13
32,3231,緯創,177.0,-2.0,-1.12,07/27,0.1,0.44,0.48,0.37,-0.05,1.04,3.19,3.04,0.03,-1.52,3.93,2.64
33,8028,昇陽半導體,311.0,10.5,3.49,07/27,0.0,0.0,0.0,0.37,0.68,0.57,4.37,3.45,4.2,4.09,,4.65
34,6139,亞翔,762.0,-78.0,-9.29,07/27,-0.1,0.09,0.18,0.35,0.5,2.39,4.3,3.76,1.67,6.59,6.87,3.92
35,6239,力成,279.0,-0.5,-0.18,07/27,-0.03,-0.01,0.13,0.34,0.08,-2.01,-8.29,-11.6,-19.9,-1.79,5.28,-10.3
36,3706,神達,91.2,-0.1,-0.11,07/27,0.0,0.0,0.11,0.32,0.59,3.38,4.91,4.88,2.88,4.9,3.58,4.76
37,8069,元太,184.5,-6.5,-3.4,07/27,0.01,0.04,0.14,0.31,0.57,1.59,2.35,2.37,2.23,2.44,2.08,2.76
38,1216,統一,77.1,-0.3,-0.39,07/27,0.03,0.05,0.14,0.3,0.57,0.66,2.47,1.38,3.99,10.1,11.3,0.89
39,8114,振樺電,217.5,-12.5,-5.43,07/27,0.0,0.0,0.14,0.29,0.51,0.5,2.26,2.05,2.1,2.05,2.08,3.22
40,6223,旺矽,5720.0,15.0,0.26,07/27,-0.01,0.01,0.08,0.29,0.4,0.9,2.72,2.71,5.44,17.3,15.1,1.89
41,2637,慧洋-KY,82.3,-1.5,-1.79,07/27,0.08,0.12,0.17,0.28,0.32,0.44,-1.87,-2.41,-3.83,1.67,6.4,-3.38
42,2801,彰銀,24.7,0.35,1.44,07/27,0.01,0.01,0.09,0.28,0.44,1.55,1.77,1.65,1.08,0.74,1.73,0.77
43,6739,竹陞科技,1045.0,-30.0,-2.79,07/27,0.01,0.02,0.12,0.28,0.29,0.32,-1.81,0.06,0.8,,,-0.07
44,2880,華南金,41.4,0.7,1.72,07/27,0.03,0.05,0.13,0.27,0.43,0.46,3.34,3.12,4.72,7.92,8.22,3.12
45,3443,創意,4050.0,-20.0,-0.49,07/27,-0.12,-0.1,-0.02,0.26,-0.08,0.18,3.02,4.56,6.39,1.13,10.2,5.12
46,3023,信邦,291.5,6.5,2.28,07/27,0.0,-0.11,0.12,0.25,0.18,3.36,3.44,1.28,4.05,8.98,6.28,0.76
47,2377,微星,146.5,0.0,0.0,07/27,0.0,0.0,0.08,0.25,0.32,4.61,4.88,5.4,0.54,-1.89,-2.78,5.48
48,6409,旭隼,1000.0,-15.0,-1.48,07/27,0.0,0.01,0.08,0.24,0.54,3.5,4.62,4.92,5.93,5.71,5.56,5.41
49,00652,富邦印度,33.12,0.57,1.75,07/27,0.09,0.16,0.16,0.24,0.37,0.37,0.37,0.37,0.37,0.0,0.21,0.37
50,5483,中美晶,204.0,0.5,0.25,07/27,0.0,0.32,0.16,0.22,2.51,3.63,6.25,4.78,3.32,9.82,12.2,4.66
51,2233,宇隆,205.0,1.5,0.74,07/27,0.0,0.0,0.07,0.22,0.22,0.22,-0.07,-0.75,-0.08,-2.49,-7.46,0.19
52,2486,一詮,227.5,8.5,3.88,07/27,0.04,0.09,0.14,0.22,0.29,0.0,-1.66,-0.01,0.41,0.17,0.31,0.41
53,2059,川湖,8275.0,540.0,6.98,07/27,0.13,0.13,0.09,0.21,0.6,0.91,1.85,2.18,-0.38,3.29,7.12,0.04
54,6548,長科*,68.2,0.2,0.29,07/27,0.0,0.0,0.07,0.21,0.56,1.19,1.55,1.47,3.72,3.05,,2.67
55,5434,崇越,543.0,-9.0,-1.63,07/27,0.01,0.04,0.1,0.21,1.12,4.15,3.81,3.12,0.77,6.16,6.65,3.05
56,2379,瑞昱,762.0,18.0,2.42,07/27,0.0,0.02,0.09,0.2,-0.05,1.65,6.93,3.69,1.27,6.7,13.4,2.73
57,2441,超豐,119.0,1.0,0.85,07/27,0.0,0.0,0.07,0.2,0.58,0.85,-2.54,-5.09,-1.37,1.65,-4.05,-4.81
58,4966,譜瑞-KY,615.0,4.0,0.65,07/27,0.21,0.2,0.2,0.2,-0.14,-0.53,3.24,2.13,6.97,4.05,0.42,3.69
59,3037,欣興,848.0,9.0,1.07,07/27,0.0,0.0,0.14,0.2,0.56,1.12,1.78,6.27,8.4,6.26,10.8,7.29
60,2458,義隆,166.0,-2.0,-1.19,07/27,0.0,0.0,0.19,0.2,0.44,4.33,3.71,2.19,1.65,17.8,14.0,-0.44
61,2892,第一金,34.8,0.5,1.46,07/27,0.01,0.01,0.07,0.19,0.33,1.6,2.92,2.85,-0.36,1.88,3.28,2.78
62,2610,華航,21.25,0.75,3.66,07/27,0.07,0.08,0.11,0.19,-0.29,0.84,0.67,-0.47,-1.11,6.19,6.43,-1.03
63,00935,野村臺灣新科技50,54.75,-0.4,-0.73,07/27,0.02,0.02,0.07,0.18,0.33,0.32,1.06,-0.42,2.97,,,2.97
64,2890,永豐金,39.6,1.05,2.72,07/27,0.01,0.01,0.05,0.18,0.28,1.23,2.1,1.88,2.67,0.67,5.64,1.8
65,4770,上品,223.0,-4.5,-1.98,07/27,0.0,0.18,0.18,0.18,0.58,0.58,0.58,0.61,-2.79,-0.56,,0.61
66,3060,銘異,28.6,-0.3,-1.04,07/27,0.01,0.01,0.07,0.18,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
67,006205,富邦上証,40.96,-0.3,-0.73,07/27,0.04,0.08,0.08,0.17,0.24,-0.18,-0.6,-1.33,-1.33,-3.44,-57.4,-1.33
68,2406,國碩,33.25,-0.1,-0.3,07/27,0.0,0.01,0.11,0.17,0.27,0.27,0.27,0.27,0.27,0.27,0.21,0.27
69,2375,凱美,131.0,0.0,0.0,07/27,0.0,0.01,0.06,0.16,0.26,0.26,0.26,0.26,0.26,0.2,0.27,0.25
70,2484,希華,73.1,1.2,1.67,07/27,0.0,0.01,0.06,0.16,0.26,0.26,0.26,0.26,0.26,0.2,0.26,0.26
71,2415,錩新,32.2,-0.45,-1.38,07/27,0.0,0.01,0.06,0.16,0.26,0.26,0.26,0.27,0.27,0.27,0.27,0.27
72,1714,和桐,14.45,-0.45,-3.02,07/27,0.0,0.01,0.06,0.16,0.22,0.22,0.22,0.25,0.25,0.26,0.26,0.25
73,1718,中纖,10.25,-0.75,-6.82,07/27,0.0,0.01,0.04,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17
74,6226,光鼎,18.65,-0.15,-0.8,07/27,0.0,0.01,0.06,0.16,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
75,2428,興勤,240.0,-1.0,-0.41,07/27,0.0,0.0,0.0,0.16,0.2,1.53,1.65,-0.57,1.47,1.66,1.59,-1.07
76,4760,勤凱,241.0,3.0,1.26,07/27,0.0,0.0,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,,0.16
77,2383,台光電,4815.0,60.0,1.26,07/27,-0.01,0.0,0.01,0.16,0.2,0.28,0.32,2.29,1.43,-8.24,2.2,0.98
78,2478,大毅,128.5,-3.0,-2.28,07/27,0.0,0.01,0.11,0.15,0.26,0.42,0.42,0.38,0.42,0.42,0.43,0.42
79,5269,祥碩,1385.0,0.0,0.0,07/27,0.0,0.01,0.05,0.15,0.51,3.31,5.06,4.44,-0.85,4.48,5.05,5.23
80,1708,東鹼,52.5,-0.2,-0.38,07/27,0.0,0.01,0.06,0.15,0.25,0.25,0.25,0.21,0.21,0.23,0.15,0.25
81,8033,雷虎,186.0,-1.0,-0.53,07/27,0.0,0.01,0.06,0.15,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
82,2493,揚博,210.0,-2.5,-1.18,07/27,0.0,0.01,0.15,0.15,0.16,0.19,0.66,0.51,0.78,0.8,0.82,0.81
83,2466,冠西電,93.9,-1.1,-1.16,07/27,0.0,0.01,0.06,0.15,0.24,0.24,0.24,-0.1,0.24,0.24,0.24,0.24
84,2316,楠梓電,155.0,-1.0,-0.64,07/27,0.01,0.02,0.06,0.15,0.28,0.28,2.22,0.08,2.22,2.18,2.56,-0.1
85,6442,光聖,1330.0,5.0,0.38,07/27,0.04,0.05,0.26,0.15,-0.11,-0.38,-3.14,-4.68,-1.03,4.5,4.5,-4.64
86,3357,臺慶科,212.0,5.0,2.42,07/27,0.0,0.01,0.01,0.15,0.09,-0.53,0.03,-0.25,-0.94,0.14,,-0.35
87,1447,力鵬,7.34,-0.16,-2.13,07/27,0.0,0.01,0.04,0.15,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18
88,2886,兆豐金,49.4,0.95,1.96,07/27,0.01,0.01,0.06,0.15,0.19,1.44,3.63,3.32,2.81,4.55,5.92,3.21
89,3550,聯穎,21.4,-0.55,-2.51,07/27,0.0,0.01,0.06,0.14,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
90,1590,亞德客-KY,1440.0,15.0,1.05,07/27,0.0,0.0,0.05,0.14,0.28,0.31,0.5,0.91,0.79,0.08,-1.15,0.9
91,1515,力山,32.45,-1.5,-4.42,07/27,0.0,0.01,0.05,0.14,0.23,0.23,0.23,0.23,0.23,0.18,-0.64,0.23
92,1444,力麗,7.73,-0.27,-3.38,07/27,0.0,0.01,0.05,0.14,0.22,0.22,0.22,0.22,0.22,0.15,0.08,0.22
93,1303,南亞,174.0,-3.5,-1.97,07/27,-0.04,-0.04,-0.01,0.14,1.9,2.51,3.67,3.76,3.99,1.04,2.98,3.62
94,1503,士電,202.0,-2.5,-1.22,07/27,0.0,0.0,0.05,0.14,0.23,0.23,0.26,0.16,-0.11,-1.78,0.33,0.15
95,6155,鈞寶,55.0,-0.7,-1.26,07/27,0.0,0.01,0.05,0.14,0.22,0.22,0.22,0.22,0.22,0.18,0.18,0.22
96,2425,承啟,46.0,-0.85,-1.81,07/27,0.0,0.01,0.05,0.13,0.21,0.21,0.21,0.21,0.21,0.13,0.23,0.21
97,6691,洋基工程,696.0,-17.0,-2.38,07/27,0.0,0.01,0.05,0.13,0.28,3.04,3.18,2.54,2.58,1.86,,2.2
98,2887,台新新光金,34.95,0.8,2.34,07/27,0.0,0.0,0.06,0.13,0.54,0.82,1.19,2.27,7.41,11.9,12.1,2.4
99,2395,研華,577.0,-4.0,-0.69,07/27,0.0,0.0,0.04,0.13,0.27,0.3,0.41,0.54,-0.11,0.54,0.79,0.54
100,8476,台境*,21.5,-1.75,-7.53,07/27,0.0,0.01,0.05,0.12,0.19,0.19,0.19,0.19,0.19,0.19,,0.19
101,3211,順達,374.0,-8.0,-2.09,07/27,0.0,0.08,0.15,0.12,0.34,4.31,-4.04,-6.19,-14.4,12.3,12.3,-10.5
102,8261,富鼎,216.5,-0.5,-0.23,07/27,0.0,0.01,0.05,0.12,0.19,0.35,0.31,0.42,0.38,0.38,0.38,0.21
103,3015,全漢,55.1,0.6,1.1,07/27,0.0,0.01,0.05,0.12,0.19,0.24,0.24,0.07,0.85,1.23,1.3,-0.05
104,2382,廣達,322.0,-6.0,-1.83,07/27,0.07,0.07,0.08,0.12,0.2,0.74,8.52,8.34,7.05,5.28,9.92,8.33
105,6834,天二科技,91.4,1.3,1.44,07/27,0.0,0.01,0.05,0.12,0.19,0.19,0.19,0.19,0.19,0.19,,0.19
106,2634,漢翔,61.8,-3.6,-5.5,07/27,0.0,0.01,0.04,0.12,0.19,0.25,0.23,0.03,-0.04,-0.81,-1.82,0.03
107,5288,豐祥-KY,194.5,0.5,0.26,07/27,0.01,0.01,0.02,0.11,0.12,0.12,0.02,0.08,0.18,-0.03,-6.06,0.18
108,9958,世紀鋼,109.0,-1.5,-1.36,07/27,0.0,0.0,0.0,0.11,0.12,0.2,0.41,0.43,0.42,0.45,0.43,0.4
109,2491,吉祥全,28.2,-0.9,-3.09,07/27,0.0,0.01,0.04,0.11,0.18,0.18,0.18,0.18,0.18,0.18,0.16,0.18
110,6531,愛普*,773.0,-85.0,-9.91,07/27,-0.01,0.01,-0.01,0.11,0.02,-0.95,4.81,3.7,4.63,5.19,5.63,4.21
111,3693,營邦,494.5,-14.5,-2.85,07/27,0.01,0.0,0.03,0.11,0.0,0.0,-1.22,-0.46,0.24,0.1,0.15,-0.34
112,1712,興農,39.35,0.25,0.64,07/27,0.0,0.0,0.1,0.11,0.14,0.4,0.4,0.42,0.28,0.27,0.2,0.38
113,2414,精技,57.2,1.5,2.69,07/27,0.0,0.01,0.04,0.11,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17
114,4551,智伸科,182.0,-2.0,-1.09,07/27,0.0,0.01,0.04,0.11,0.52,-0.68,-2.54,-2.29,-4.46,-1.16,-4.75,-2.29
115,6640,均華,942.0,25.0,2.73,07/27,0.03,0.1,0.1,0.1,0.1,0.1,-2.28,-0.36,-0.86,0.41,,-0.17
116,2006,東和鋼鐵,73.0,1.2,1.67,07/27,0.04,0.11,0.11,0.1,0.29,0.18,-3.77,-4.82,-6.54,-4.63,-0.75,-5.18
117,00922,國泰台灣領袖50,38.97,-0.06,-0.15,07/27,0.0,0.0,0.0,0.1,0.1,0.19,0.19,0.19,0.19,-0.17,,0.19
118,8938,明安,57.0,0.2,0.35,07/27,0.0,0.0,0.1,0.1,0.1,0.28,0.28,0.28,0.28,0.28,0.28,0.28
119,1402,遠東新,27.45,0.1,0.37,07/27,0.04,0.1,0.1,0.1,0.21,0.95,2.28,1.54,0.22,-1.26,4.7,1.17
120,2302,麗正,41.5,-1.5,-3.49,07/27,0.0,0.01,0.03,0.09,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-0.02
121,3189,景碩,710.0,-1.0,-0.14,07/27,-0.03,-0.21,-0.02,0.09,0.49,1.34,2.52,4.82,7.64,3.12,7.45,7.67
122,6830,汎銓,374.5,11.0,3.03,07/27,0.07,0.07,0.09,0.09,-0.48,-0.48,-0.12,-0.04,-0.04,0.26,,0.16
123,8105,凌巨,16.8,-0.1,-0.59,07/27,0.0,0.01,0.03,0.08,0.14,0.14,0.14,0.14,0.14,0.14,0.43,0.14
124,9946,三發地產,18.1,0.15,0.84,07/27,0.0,0.01,0.03,0.08,0.13,0.23,0.23,0.23,0.23,0.23,0.23,0.23
125,2345,智邦,2240.0,20.0,0.9,07/27,-0.01,0.0,0.03,0.08,0.24,0.34,0.6,1.83,1.43,4.48,-2.35,1.16
126,1342,八貫,110.0,-1.0,-0.9,07/27,0.0,0.01,0.03,0.08,0.13,0.13,0.13,0.13,0.3,0.43,,0.13
127,6274,台燿,1255.0,5.0,0.4,07/27,0.07,-0.04,0.14,0.08,-0.98,-0.72,3.85,-3.75,5.01,9.47,7.08,-5.42
128,6525,捷敏-KY,142.0,0.5,0.35,07/27,0.0,0.01,0.03,0.08,0.13,0.12,0.48,0.47,0.47,0.5,-0.09,0.47
129,2308,台達電,1755.0,-30.0,-1.68,07/27,-0.04,-0.04,-0.03,0.08,0.13,0.12,-0.31,0.0,0.07,0.42,1.54,0.1
130,9939,宏全,129.0,-0.5,-0.39,07/27,0.0,0.0,0.0,0.07,0.19,0.33,0.45,0.2,0.11,0.22,0.22,0.0
131,6672,騰輝電子-KY,221.0,-3.5,-1.56,07/27,0.0,0.01,0.03,0.07,0.11,0.1,0.07,0.25,0.25,0.18,,0.25
132,3491,昇達科,1155.0,-35.0,-2.94,07/27,0.0,0.0,0.01,0.07,0.29,0.33,-0.95,-1.65,-2.27,4.46,2.07,-1.48
133,2387,精元,38.5,-0.35,-0.9,07/27,0.0,0.0,0.07,0.07,0.07,0.76,0.76,0.76,0.57,0.69,0.75,0.73
134,4162,智擎,65.8,-0.1,-0.15,07/27,0.0,0.0,0.07,0.07,0.07,0.14,0.14,0.14,0.14,0.08,-2.15,0.14
135,1717,長興,61.3,1.1,1.83,07/27,0.02,0.07,0.07,0.07,0.07,0.17,0.26,-0.11,0.57,0.61,0.74,0.39
