排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
301,3105,穩懋,櫃,511.0,6.0,1.19,23767,06/15,-1709,4,115,-1590,91.9,21.7,－＋＋
302,4904,遠傳,市,110.0,1.0,0.92,8476,06/15,1728,-79,-82,1567,782.0,21.7,＋－－
303,3376,新日興,市,203.0,2.5,1.25,4491,06/15,-1412,0,46,-1366,42.2,21.5,－・＋
304,3227,原相,櫃,216.0,0.0,0.0,841,06/15,-234,7,1,-226,32.7,21.5,－＋＋
305,2886,兆豐金,市,44.0,0.6,1.38,30155,06/15,-5874,8578,179,2883,3163.0,21.3,－＋＋
306,4105,東洋,櫃,74.1,0.0,0.0,644,06/15,65,-1,2,66,53.0,21.3,＋－＋
307,6510,精測,櫃,3595.0,-15.0,-0.42,703,06/15,-184,58,-7,-133,6.98,21.3,－＋－
308,6166,凌華,市,141.0,12.5,9.73,3681,06/15,498,0,22,519,46.2,21.2,＋・＋
309,2916,滿心,櫃,41.95,-0.15,-0.36,96,06/15,-21,0,0,-21,13.7,21.2,－・・
310,2415,錩新,市,30.05,2.3,8.29,757,06/15,100,0,3,102,19.0,21.1,＋・＋
311,2911,麗嬰房,市,8.12,-0.31,-3.68,669,06/15,-62,0,9,-53,22.1,21.0,－・＋
312,6278,台表科,市,216.0,5.0,2.37,16775,06/15,-3553,-46,-196,-3795,61.3,21.0,－－－
313,6515,穎崴,市,9925.0,335.0,3.49,665,06/15,-25,154,-34,95,7.52,20.9,－＋－
314,2207,和泰車,市,463.5,2.5,0.54,1034,06/15,-91,98,13,21,115.0,20.7,－＋＋
315,4991,環宇-KY,櫃,544.0,-10.0,-1.81,7389,06/15,-2088,0,30,-2057,25.0,20.7,－・＋
316,4726,永昕,櫃,24.85,-0.5,-1.97,336,06/15,-81,0,0,-81,42.7,20.6,－・＋
317,1587,吉茂,市,28.05,0.35,1.26,280,06/15,40,0,0,39,16.5,20.6,＋・－
318,3703,欣陸,市,22.0,-0.05,-0.23,1502,06/15,-242,0,-25,-267,169.0,20.5,－・－
319,00922,國泰台灣領袖50,市,40.17,1.2,3.08,10400,06/15,727,0,3415,4142,430.0,20.5,＋・＋
320,2382,廣達,市,370.0,-2.0,-0.54,22409,06/15,-3702,405,844,-2453,790.0,20.5,－＋＋
321,3130,一零四,市,227.0,3.0,1.34,59,06/15,0,0,1,1,6.78,20.4,＋・＋
322,3293,鈊象,櫃,751.0,-4.0,-0.53,1403,06/15,-305,-75,-10,-389,57.4,20.4,－－－
323,6462,神盾,櫃,113.0,2.5,2.26,998,06/15,97,0,2,100,18.5,20.3,＋・＋
324,2618,長榮航,市,39.95,1.25,3.23,78427,06/15,30475,-5922,-101,24451,1088.0,20.2,＋－－
325,6997,博弘,櫃,76.0,-1.0,-1.3,6,06/15,-1,0,0,-1,4.45,20.1,－・・
326,6175,立敦,櫃,108.0,9.4,9.53,12578,06/15,5908,1,135,6044,30.2,20.1,＋＋＋
327,4568,科際精密,櫃,40.45,-0.15,-0.37,7,06/15,0,0,0,0,6.38,20.1,・・・
328,009806,台新標普500,櫃,13.19,0.15,1.15,62,06/15,0,0,-4,-4,3.05,20.1,・・－
329,3526,凡甲,櫃,320.0,-3.0,-0.93,394,06/15,-16,0,5,-11,13.2,20.0,－・＋
330,2467,志聖,市,576.0,24.0,4.35,957,06/15,122,0,-9,113,31.3,19.9,＋＋－
331,2474,可成,市,208.0,2.5,1.22,5396,06/15,-476,-749,428,-797,111.0,19.8,－－＋
332,8021,尖點,市,506.0,-16.0,-3.07,14856,06/15,-3477,56,-169,-3590,28.7,19.8,－＋－
333,8081,致新,市,284.0,1.0,0.35,654,06/15,-94,7,-9,-96,17.0,19.8,－＋－
334,3209,全科,市,61.3,0.1,0.16,2054,06/15,13,0,-19,-6,46.5,19.7,＋・－
335,2939,永邑-KY,市,21.5,0.3,1.42,11,06/15,4,0,0,4,8.98,19.7,＋・・
336,4961,天鈺,市,171.0,5.0,3.01,669,06/15,366,0,1,367,23.9,19.7,＋・＋
337,7584,樂意,櫃,27.0,1.05,4.05,23,06/15,-2,0,0,-2,3.24,19.7,－・・
338,7769,鴻勁,市,7205.0,-5.0,-0.07,459,06/15,-30,-25,5,-50,35.4,19.7,－－＋
339,4728,雙美,櫃,375.0,-2.0,-0.53,1,06/15,0,0,0,0,10.7,19.6,・・・
340,2867,三商壽,市,8.37,0.13,1.58,21746,06/15,8081,0,-59,8022,1158.0,19.6,＋・－
341,8147,正淩,櫃,146.0,0.5,0.34,284,06/15,-65,0,-9,-74,8.18,19.6,－・－
342,1519,華城,市,789.0,-2.0,-0.25,2621,06/15,-402,-29,3,-428,61.7,19.5,－－＋
343,4960,誠美材,市,29.95,1.4,4.9,5030,06/15,1245,0,81,1326,112.0,19.5,＋・＋
344,3236,千如,櫃,69.5,6.3,9.97,38997,06/15,-1433,-2,-47,-1482,20.5,19.5,－－－
345,009807,台新標普科技精選,櫃,16.77,0.34,2.07,68,06/15,0,0,-16,-16,3.08,19.5,・・－
346,6591,動力-KY,市,54.7,-0.7,-1.26,250,06/15,-25,0,1,-24,8.0,19.4,－・＋
347,5906,台南-KY,市,46.0,0.0,0.0,0,06/15,0,0,0,0,6.94,19.4,・・・
348,1617,榮星,市,16.45,0.05,0.3,165,06/15,44,0,0,43,32.9,19.4,＋・－
349,7757,金色三麥,櫃,102.5,0.5,0.49,40,06/15,-2,0,0,-2,4.67,19.4,－・・
350,2428,興勤,市,310.0,19.0,6.53,3352,06/15,551,0,62,613,24.8,19.4,＋・＋
351,5388,中磊,市,86.5,1.2,1.41,2382,06/15,1,0,49,50,58.8,19.3,＋・＋
352,3531,先益,櫃,23.3,0.7,3.1,1,06/15,0,0,0,0,11.8,19.3,・・・
353,5425,台半,櫃,101.0,0.0,0.0,40207,06/15,-9536,0,-49,-9585,50.7,19.2,－・－
354,2006,東和鋼鐵,市,69.0,0.5,0.73,3448,06/15,-790,426,9,-355,140.0,19.2,－＋＋
355,3413,京鼎,市,322.0,14.5,4.72,4572,06/15,2662,0,51,2714,21.2,19.1,＋・＋
356,1467,南緯,市,7.4,-0.1,-1.33,291,06/15,-3,0,0,-3,44.6,19.1,－・・
357,6672,騰輝電子-KY,市,235.5,14.5,6.56,6885,06/15,1291,0,31,1322,13.6,19.0,＋・＋
358,00683L,期元大美元指正2,市,21.25,-0.18,-0.84,101,06/15,0,0,26,26,2.17,19.0,・・＋
359,4164,承業醫,市,30.8,-0.1,-0.32,650,06/15,-46,0,3,-43,36.9,18.9,－・＋
360,1410,南染,市,24.8,0.0,0.0,121,06/15,-5,0,-1,-6,11.7,18.9,－・－
361,9911,櫻花,市,83.5,-0.8,-0.95,369,06/15,-133,-1,2,-132,41.9,18.8,－－＋
362,2609,陽明,市,51.2,-1.2,-2.29,39646,06/15,-21279,-29,-249,-21557,655.0,18.8,－－－
363,2603,長榮,市,224.5,-3.5,-1.54,20567,06/15,-4676,242,-289,-4724,404.0,18.7,－＋－
364,3010,華立,市,132.0,0.0,0.0,1420,06/15,-400,-152,0,-552,48.3,18.6,－－＋
