排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 月份,非獨 董監 持股 (萬張),非獨 董監 增減 張數,非獨 董監 持股 (%),非獨 董監 質押 (萬張),非獨 董監 質押 (%),獨立 董監 持股 (萬張),獨立 董監 增減 張數,獨立 董監 持股 (%),獨立 董監 質押 (萬張),獨立 董監 質押 (%),全體 董監 持股 (萬張),全體 董監 增減 張數,全體 董監 持股 (%),全體 董監 質押 (萬張),全體 董監 質押 (%)
1,4502,健信,15.7,0.0,0.0,26M07,1.26,0.0,21.9,1.25,99.8,0.0,0.0,0.0,0.0,0.0,1.26,0.0,21.9,1.25,99.8
2,3040,遠見,37.55,-0.45,-1.18,26M07,2.4,0.0,36.3,2.39,99.6,0.01,0.0,0.08,0.0,0.0,2.41,0.0,36.4,2.39,99.4
3,2530,華建,19.4,-0.1,-0.51,26M07,28.4,0.0,33.8,26.4,92.9,0.07,0.0,0.08,0.0,0.0,28.5,0.0,33.9,26.4,92.7
4,8341,日友,75.9,-0.5,-0.65,26M07,5.11,0.0,39.3,4.57,89.4,0.0,0.0,0.0,0.0,0.0,5.11,0.0,39.3,4.57,89.4
5,8476,台境*,20.1,0.05,0.25,26M07,1.38,0.0,8.31,1.23,89.3,0.0,0.0,0.0,0.0,0.0,1.38,0.0,8.31,1.23,89.3
6,2020,美亞,21.2,0.2,0.95,26M07,4.48,104.0,16.8,3.98,88.8,0.0,0.0,0.0,0.0,0.0,4.48,104.0,16.8,3.98,88.8
7,2424,隴華,8.86,-0.12,-1.34,26M07,0.99,0.0,16.5,0.87,87.8,0.0,0.0,0.0,0.0,0.0,0.99,0.0,16.5,0.87,87.8
8,7723,築間,20.1,-0.4,-1.95,26M07,0.82,0.0,16.6,0.71,86.7,0.0,0.0,0.0,0.0,0.0,0.82,0.0,16.6,0.71,86.7
9,3339,泰谷,37.2,-0.85,-2.23,26M07,0.58,0.0,8.68,0.5,86.6,0.0,0.0,0.0,0.0,0.0,0.58,0.0,8.68,0.5,86.6
10,6126,信音,30.0,-0.45,-1.48,26M07,1.24,0.0,9.52,1.07,86.5,0.0,0.0,0.0,0.0,0.0,1.24,0.0,9.52,1.07,86.5
11,4523,永彰,24.5,-0.2,-0.81,26M07,2.81,0.0,43.2,2.41,85.8,0.0,0.0,0.0,0.0,0.0,2.81,0.0,43.2,2.41,85.8
12,2514,龍邦,12.1,-0.15,-1.22,26M07,13.4,50.0,34.0,11.5,85.6,0.0,0.0,0.0,0.0,0.0,13.4,50.0,34.0,11.5,85.6
13,3615,安可,38.65,1.6,4.32,26M07,0.68,0.0,9.93,0.58,85.3,0.0,0.0,0.0,0.0,0.0,0.68,0.0,9.93,0.58,85.3
14,2740,華軒,30.75,0.5,1.65,26M07,0.43,0.0,25.8,0.37,85.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,25.8,0.37,85.0
15,2528,皇普,20.15,-0.25,-1.23,26M07,18.4,0.0,42.2,15.6,84.7,0.0,0.0,0.0,0.0,0.0,18.4,0.0,42.2,15.6,84.7
16,3312,弘憶股,55.1,-1.7,-2.99,26M07,5.73,0.0,31.4,4.8,83.8,0.0,0.0,0.0,0.0,0.0,5.73,0.0,31.4,4.8,83.8
17,1718,中纖,10.95,-0.05,-0.45,26M07,9.63,0.0,5.71,8.06,83.6,0.0,0.0,0.0,0.0,0.0,9.63,0.0,5.71,8.06,83.6
18,6111,光聚晶電,37.25,-0.1,-0.27,26M07,2.42,153.0,22.3,2.02,83.5,0.0,0.0,0.0,0.0,0.0,2.42,153.0,22.3,2.02,83.5
19,6179,亞通,27.05,-0.3,-1.1,26M07,1.09,40.0,6.14,0.9,82.5,0.0,0.0,0.0,0.0,0.0,1.09,40.0,6.14,0.9,82.5
20,3338,泰碩,63.8,-0.8,-1.24,26M07,1.71,2.0,19.5,1.4,81.6,0.0,0.0,0.0,0.0,0.0,1.71,2.0,19.5,1.4,81.6
