Unnamed: 0_level_0_Unnamed: 0_level_1,Unnamed: 1_level_0_Unnamed: 1_level_1,Unnamed: 2_level_0_Unnamed: 2_level_1,交易口數與契約金額_多方,交易口數與契約金額_多方,交易口數與契約金額_空方,交易口數與契約金額_空方,交易口數與契約金額_多空淨額,交易口數與契約金額_多空淨額,未平倉餘額_多方,未平倉餘額_多方,未平倉餘額_空方,未平倉餘額_空方,未平倉餘額_多空淨額,未平倉餘額_多空淨額
1,臺股期貨,自營商,6002,55581898,6839,63452768,-837,-7870870,6022,56480522,4451,41756896,1571,14723626
1,臺股期貨,投信,3734,34892047,73,680793,3661,34211255,72749,680625094,6126,57340847,66623,623284247
1,臺股期貨,外資,67659,624664692,74113,684651624,-6454,-59986932,5391,50450286,88454,827697657,-83063,-777247371
2,電子期貨,自營商,26,310185,50,599842,-24,-289656,14,170520,125,1521500,-111,-1350980
2,電子期貨,投信,4,48689,0,0,4,48689,172,2093584,0,0,172,2093584
2,電子期貨,外資,118,1413917,101,1204808,17,209109,39,474708,243,2957796,-204,-2483088
3,金融期貨,自營商,49,151873,43,132895,6,18977,85,265761,125,390809,-40,-125048
3,金融期貨,投信,8,25005,0,0,8,25005,25,78165,0,0,25,78165
3,金融期貨,外資,301,933106,306,948756,-5,-15650,144,450230,232,725371,-88,-275141
4,小型臺指期貨,自營商,12702,29336931,12185,28164688,517,1172243,2945,6922589,8606,20239677,-5661,-13317088
4,小型臺指期貨,投信,13,30431,1,2341,12,28090,107,250268,80,187116,27,63152
4,小型臺指期貨,外資,166205,382946606,168429,388053959,-2224,-5107353,4826,11290297,2041,4780897,2785,6509400
5,微型臺指期貨,自營商,32279,14941650,24751,11412870,7528,3528779,2394,1138367,41873,19654923,-39479,-18516556
5,微型臺指期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
5,微型臺指期貨,外資,222755,102589134,218280,100499762,4475,2089372,11297,5284682,1039,486472,10258,4798210
6,小型電子期貨,自營商,59,88117,66,98379,-7,-10262,88,133892,172,261712,-84,-127820
6,小型電子期貨,投信,0,0,7,10590,-7,-10590,67,101941,0,0,67,101941
6,小型電子期貨,外資,501,749246,512,766173,-11,-16927,9,13694,64,97376,-55,-83682
7,小型金融期貨,自營商,101,78603,80,61840,21,16762,7,5472,60,46895,-53,-41423
7,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
7,小型金融期貨,外資,187,144971,192,149016,-5,-4045,2,1563,6,4690,-4,-3127
8,股票期貨,自營商,43800,21283383,60575,28917647,-16775,-7634264,75098,27644849,376836,241564428,-301738,-213919579
8,股票期貨,投信,59,10398,59,10413,0,-15,12507,6343690,255,48725,12252,6294965
8,股票期貨,外資,340574,184395472,353753,202472807,-13179,-18077335,178498,147270192,674572,442064109,-496074,-294793917
9,ETF期貨,自營商,6324,2723489,4529,2779662,1795,-56173,12530,4727553,38164,23939771,-25634,-19212218
9,ETF期貨,投信,0,0,0,0,0,0,4424,3834941,50,21045,4374,3813896
9,ETF期貨,外資,8600,6195558,8125,5960140,475,235419,16289,14156210,2474,1969352,13815,12186858
10,櫃買指數期貨,自營商,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,自營商,20,30786,14,21540,6,9246,77,119440,68,105512,9,13928
11,非金電期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,外資,4,6165,5,7687,-1,-1522,30,46597,2,3107,28,43490
12,富櫃200期貨,自營商,7,6892,2,1973,5,4919,3,2963,27,26663,-24,-23700
12,富櫃200期貨,投信,0,0,0,0,0,0,27,26663,0,0,27,26663
12,富櫃200期貨,外資,0,0,0,0,0,0,3,2963,0,0,3,2963
13,臺灣中型100期貨,自營商,673,249317,700,259250,-27,-9933,399,149451,322,120616,77,28835
13,臺灣中型100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣中型100期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,自營商,70,181599,70,181599,0,0,78,202934,78,202934,0,0
14,臺灣永續期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
15,臺灣生技期貨,自營商,0,0,0,0,0,0,0,0,6,1253,-6,-1253
15,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
15,臺灣生技期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,自營商,89,73058,90,73874,-1,-816,11,9185,41,34330,-30,-25145
16,半導體30期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
17,航運期貨,自營商,0,0,0,0,0,0,0,0,0,0,0,0
17,航運期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
17,航運期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
18,東證期貨,自營商,48,38350,66,52669,-18,-14319,28,22445,27,21647,1,798
18,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
18,東證期貨,外資,77,61460,58,46356,19,15105,11,8820,141,113026,-130,-104206
19,美國標普500期貨,自營商,0,0,0,0,0,0,0,0,0,0,0,0
19,美國標普500期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
19,美國標普500期貨,外資,45,67057,48,71574,-3,-4517,68,102272,125,188000,-57,-85728
20,美國那斯達克100期貨,自營商,0,0,0,0,0,0,0,0,197,297165,-197,-297165
20,美國那斯達克100期貨,投信,0,0,0,0,0,0,2,3017,0,0,2,3017
20,美國那斯達克100期貨,外資,1169,1751850,1150,1723235,19,28616,147,221742,358,540182,-211,-318440
21,美國道瓊期貨,自營商,0,0,0,0,0,0,0,0,19,19989,-19,-19989
21,美國道瓊期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
21,美國道瓊期貨,外資,95,99792,100,104992,-5,-5200,159,167327,76,79965,83,87362
22,美國費城半導體期貨,自營商,20,21296,61,65338,-41,-44042,0,0,177,194424,-177,-194424
