日期,成交千股,成交金額(千元),成交筆數,櫃買指數,漲跌點數
115/07/01,"1,369,067","248,218,714","1,273,652",431.23,4.26
115/07/02,"1,340,448","242,505,188","1,280,213",439.51,8.28
115/07/03,"1,497,271","264,742,268","1,300,261",445.38,5.87
115/07/06,"1,520,531","305,181,097","1,457,377",439.8,-5.58
115/07/07,"1,396,579","276,471,816","1,550,965",419.47,-20.33
115/07/08,"1,137,246","222,044,766","1,127,622",421.39,1.92
115/07/09,"1,110,894","236,279,701","1,083,491",424.99,3.6
115/07/13,"1,169,598","212,848,618","1,113,794",419.9,-5.09
115/07/14,"1,399,930","289,947,486","1,436,350",407.41,-12.49
115/07/15,"963,385","204,334,718","928,076",416.41,9.0
115/07/16,"1,000,245","205,330,111","990,817",407.01,-9.4
115/07/17,"1,025,006","202,743,182","1,144,544",378.44,-28.57
