排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,6212,理銘,28.9,0.4,1.4,07/24,-99.8,-99.8,-99.8,0.0,8.68,-4.17,-1.49,-1.03,-0.9,-41.9,-41.6,-0.85
2,00867B,台新A-BBB電信債,30.67,-0.05,-0.16,07/24,-98.9,-97.5,-95.8,-93.4,-69.9,-11.5,-4.8,-1.01,62.1,75.0,,-0.67
3,00943,兆豐電子高息等權,21.67,-0.04,-0.18,07/24,-96.2,-94.7,-79.4,-78.0,-68.0,-54.7,-2.38,18.6,13.0,,,17.0
4,3130,一零四,206.0,0.0,0.0,07/24,-61.8,-55.2,-64.8,-56.3,-50.1,-51.5,-37.0,-33.0,-24.3,-27.0,-17.9,-32.7
5,2393,億光,66.1,-0.8,-1.2,07/24,-69.2,-63.7,-62.4,-55.9,-51.0,-21.9,-14.2,-2.12,3.13,-1.46,-0.2,-1.72
6,6757,台灣虎航,54.4,-1.1,-1.98,07/24,-66.4,-64.7,-60.9,-40.4,-27.8,-4.33,9.25,3.48,2.34,,,4.11
7,00933B,國泰10Y+金融債,15.94,-0.04,-0.25,07/24,-36.3,-42.0,-59.0,-45.6,-42.8,-10.5,13.9,35.8,29.0,,,33.5
8,4744,皇將,30.6,1.25,4.26,07/24,-54.8,-64.7,-51.7,-27.8,-0.75,1.9,-3.86,-4.61,0.29,-0.77,,-4.32
9,8499,鼎炫-KY,264.0,-5.5,-2.04,07/24,-48.6,-47.9,-51.5,-45.2,-17.7,0.53,-1.41,-0.3,0.12,0.09,,-1.23
10,9938,百和,46.8,-0.1,-0.21,07/24,-46.6,-43.6,-51.0,-29.1,-12.9,-10.1,-11.1,-13.7,-8.21,-1.83,-0.51,-12.4
11,4572,駐龍,143.5,0.0,0.0,07/24,54.2,-28.3,-50.0,5.55,10.2,10.4,13.1,7.14,-4.31,-0.61,,5.12
12,4728,雙美,383.0,7.5,2.0,07/24,-33.2,-53.7,-49.8,-3.72,87.3,80.1,42.8,33.9,29.0,7.53,1.73,44.2
13,2912,統一超,241.0,4.0,1.69,07/24,-25.7,-49.1,-49.5,-26.8,-8.89,-0.62,-22.0,-8.68,-11.6,-12.4,-7.87,-9.47
14,4743,合一,46.35,-1.55,-3.24,07/24,-52.4,-43.9,-48.8,-42.0,-27.3,-1.43,-3.82,-5.46,-2.02,-0.42,-0.28,-1.29
15,00989A,主動摩根美國科技,16.77,-0.3,-1.76,07/24,0.27,-19.4,-48.4,-34.6,-2.75,-3.6,8.14,13.0,,,,13.0
16,1712,興農,39.1,-0.05,-0.13,07/24,1.47,-42.2,-48.0,-23.5,-19.2,-17.2,-20.4,-10.2,-9.15,0.08,0.51,-8.43
17,1535,中宇,45.75,0.4,0.88,07/24,-2.05,-39.0,-47.3,-35.4,-16.8,-11.7,-6.7,-1.43,-1.26,-1.02,0.16,-1.18
18,5278,尚凡*,23.8,-0.15,-0.63,07/24,50.5,-51.4,-46.7,-20.4,-5.07,9.82,-1.38,-1.76,-3.35,-1.86,-1.42,-1.88
19,4771,望隼,183.0,-4.5,-2.4,07/24,-56.4,-52.6,-45.7,-29.4,-15.8,9.23,4.6,5.4,3.34,,,5.42
20,8048,德勝,51.5,-0.9,-1.72,07/24,-53.1,-55.7,-45.6,-35.0,-28.0,-16.9,-1.93,0.75,0.36,-0.3,0.07,0.12
21,6534,正瀚-創,92.2,-0.4,-0.43,07/24,5.32,-22.8,-45.1,-10.7,-2.49,1.57,-11.3,-3.75,-2.72,,,-4.33
22,00720B,元大投資級公司債,32.45,-0.13,-0.4,07/24,8.53,-6.84,-43.6,-51.2,-45.1,-26.7,7.17,9.53,16.5,5.54,,10.7
23,4755,三福化,116.0,-8.5,-6.83,07/24,-51.2,-42.3,-43.5,-23.8,-13.5,-13.9,-4.09,2.44,1.21,0.64,0.13,1.57
24,00969B,元大零息超長美債,8.27,-0.01,-0.12,07/24,-36.3,-20.1,-42.8,-31.2,-39.6,-30.8,-26.9,1.89,1.22,,,3.1
25,1522,堤維西,27.85,-0.5,-1.76,07/24,-49.0,-44.0,-42.5,-34.9,-11.9,-7.87,-8.47,-10.4,-2.84,-0.96,-0.3,-6.2
26,1477,聚陽,215.0,0.5,0.23,07/24,-17.6,-22.4,-42.3,-33.2,-14.0,-0.03,2.82,-0.01,1.36,-3.07,-0.45,-0.83
27,2542,興富發,44.2,-0.75,-1.67,07/24,-52.1,-40.8,-42.2,-45.3,-34.1,-18.6,-7.91,-5.41,-5.09,-2.0,-2.91,-4.4
28,2880,華南金,40.7,-0.55,-1.33,07/24,-38.4,-43.6,-42.2,-38.5,-18.5,-12.8,-20.5,-10.3,-7.63,-3.89,-1.55,-9.29
29,3168,眾福科,43.8,0.5,1.15,07/24,-12.4,-37.4,-41.6,-14.9,-4.68,-18.5,-2.98,-1.68,-0.47,,,-1.6
30,4205,中華食,70.5,-0.4,-0.56,07/24,-28.2,-29.9,-40.6,-18.1,4.42,0.0,0.11,0.34,0.04,0.5,0.51,0.36
31,1726,永記,76.0,0.6,0.8,07/24,-2.3,-24.4,-40.5,-31.3,-15.7,-18.2,-16.1,-11.6,-7.34,-3.66,0.91,-11.0
32,6782,視陽,183.0,-2.0,-1.08,07/24,-52.4,-55.3,-39.3,-35.5,-27.1,-0.9,-11.4,-0.45,0.24,0.71,,-0.15
33,2414,精技,55.7,1.2,2.2,07/24,28.6,-11.8,-39.2,-31.7,-22.4,-10.8,-0.9,-0.52,-0.24,-0.58,-4.07,-0.77
34,2471,資通,48.7,0.5,1.04,07/24,-5.98,-34.7,-39.2,-43.8,-36.4,-19.0,-3.46,-1.34,1.22,0.06,0.04,0.92
35,7703,銳澤,183.0,-4.5,-2.4,07/24,-55.3,-51.1,-39.0,-8.64,-10.4,-5.18,-0.96,-0.33,-0.12,,,-0.92
36,2107,厚生,25.95,0.15,0.58,07/24,-9.1,-41.0,-38.3,-7.04,1.04,1.53,2.52,4.37,-1.28,-0.56,-3.51,4.28
37,2816,旺旺保,33.7,0.05,0.15,07/24,-16.0,-29.5,-38.3,-25.3,-10.1,5.07,6.76,4.7,5.05,0.24,-2.68,4.28
38,2755,揚秦,105.5,0.5,0.48,07/24,-36.2,-41.0,-38.3,-29.5,-25.0,-6.75,-6.0,0.17,-0.96,-0.56,,-0.08
39,4746,台耀,51.2,-0.5,-0.97,07/24,-52.1,-51.8,-38.3,-32.0,-22.2,4.05,-4.54,-4.29,-1.93,-0.32,-0.17,-3.63
40,00785B,富邦金融投等債,34.65,-0.07,-0.2,07/24,-49.4,-32.9,-38.2,-25.8,98.8,98.3,96.6,95.3,91.8,90.7,,94.4
41,3591,艾笛森,21.1,0.4,1.93,07/24,-17.3,-47.5,-37.6,-22.7,-17.0,1.62,3.33,1.91,1.57,-0.34,0.08,1.62
42,00756B,群益投等新興公債,31.45,-0.12,-0.38,07/24,-4.88,-32.7,-37.6,92.8,89.9,98.1,94.5,88.9,89.9,69.4,,91.5
43,2723,美食-KY,62.0,-0.1,-0.16,07/24,4.91,-31.6,-37.4,-19.2,-2.24,-0.98,-3.93,0.34,-7.7,-8.57,-2.32,1.84
44,1436,華友聯,38.15,-0.7,-1.8,07/24,-38.2,-31.1,-37.2,-23.5,-14.1,-5.25,-1.58,-0.75,1.19,-0.56,-0.34,0.17
45,00687B,國泰20年美債,27.73,-0.04,-0.14,07/24,24.4,-9.62,-36.5,-47.4,-38.7,4.31,18.8,20.5,22.3,6.18,,26.2
46,5011,久陽,19.8,-0.15,-0.75,07/24,-29.8,-31.9,-36.2,-33.0,-11.0,-3.92,1.97,2.12,1.77,0.82,0.11,1.7
47,3713,新晶投控,14.2,-0.35,-2.41,07/24,-30.2,-68.4,-36.2,-31.3,-14.1,-0.73,-0.31,0.08,0.18,0.14,,-0.06
48,4126,太醫,76.5,-0.3,-0.39,07/24,-25.9,-30.3,-36.1,-40.4,-22.5,-22.4,-7.73,-17.3,-21.7,-12.5,-4.71,-18.1
49,1337,再生-KY,4.86,-0.03,-0.61,07/24,-54.1,-46.7,-35.9,-33.7,-6.6,-9.03,-0.49,0.02,-0.43,-1.58,-1.45,-0.36
50,2536,宏普,18.25,0.0,0.0,07/24,-18.3,-31.2,-35.7,-30.1,-24.0,-16.4,-11.2,-7.32,-6.39,-2.55,-6.04,-7.91
51,3015,全漢,54.5,-1.7,-3.02,07/24,-24.2,-20.5,-35.6,-30.4,-18.9,0.77,0.53,1.1,-0.63,-0.97,-0.26,0.63
52,1104,環泥,26.8,0.25,0.94,07/24,13.1,-17.3,-35.5,-15.3,-11.3,-11.9,-19.9,-16.3,-2.35,-1.76,-1.5,-14.3
53,3052,夆典,10.7,0.05,0.47,07/24,-2.12,-36.2,-35.1,-8.54,19.2,15.8,4.94,-6.38,-4.9,-0.51,0.07,-7.97
54,1773,勝一,163.0,-4.5,-2.69,07/24,-67.3,-48.3,-35.1,-31.0,-10.2,-3.31,1.02,4.66,2.09,1.69,1.04,4.11
55,00788B,元大10年IG電能債,29.73,-0.06,-0.2,07/24,0.0,0.0,-34.6,-22.5,-1.22,-1.81,-13.2,-14.2,-16.0,0.32,,-24.9
56,00986A,主動台新龍頭成長,14.53,-0.25,-1.69,07/24,-44.1,-26.6,-34.2,24.4,7.88,7.53,8.14,12.4,,,,13.2
57,1527,鑽全,33.6,0.0,0.0,07/24,-14.7,-41.4,-34.2,-15.7,6.76,1.95,7.58,3.19,0.85,0.74,-2.99,2.06
58,2013,中鋼構,41.0,0.0,0.0,07/24,35.3,-1.71,-34.1,0.29,-0.86,-13.3,-5.36,-0.34,-6.72,-0.78,-0.01,-6.51
59,2906,高林,13.2,-0.2,-1.49,07/24,-17.7,-26.8,-34.0,-21.7,-13.3,-3.46,-2.34,-1.22,-2.04,1.47,0.01,-2.21
60,1295,生合,48.15,-0.55,-1.13,07/24,-38.2,-38.4,-33.8,-37.2,-15.8,-16.7,-3.14,-2.73,-0.07,,,-0.17
61,1446,宏和,14.05,0.05,0.36,07/24,-24.2,-30.3,-33.8,-25.7,-22.5,-13.0,-3.65,-2.52,-1.64,0.18,0.11,-2.75
62,1216,統一,77.4,0.4,0.52,07/24,7.49,-21.9,-33.6,-27.3,-12.1,-2.78,-6.85,-4.91,-10.3,-6.04,-5.74,-5.85
63,3518,柏騰,26.45,0.05,0.19,07/24,-32.9,-36.6,-33.6,-19.6,-17.1,-3.7,-0.42,0.14,-0.41,-0.02,-0.11,0.13
64,6720,久昌,135.0,-0.5,-0.37,07/24,20.3,-3.88,-33.6,-19.1,-21.2,-10.2,-5.55,-1.24,-0.59,,,-0.66
65,00780B,國泰A級金融債,37.52,-0.03,-0.08,07/24,4.81,-23.6,-33.5,-4.68,92.8,86.8,74.1,77.6,78.3,59.1,,76.0
66,2474,可成,189.5,-2.5,-1.3,07/24,2.45,-26.2,-33.1,-31.1,-17.8,-21.5,-8.9,-8.64,-9.34,-8.2,-3.37,-8.23
67,6790,永豐實,38.75,0.4,1.04,07/24,47.9,0.72,-32.9,-3.86,15.4,-4.18,1.41,4.11,0.57,1.64,,3.52
68,5478,智冠,98.8,0.3,0.3,07/24,-2.73,-44.1,-32.8,-16.1,-20.5,-4.26,1.99,0.96,-4.34,-4.0,-0.12,-0.18
69,00968B,元大優息投等債,9.16,-0.03,-0.33,07/24,22.3,-11.5,-32.4,-54.3,-59.0,-19.6,-0.87,-0.17,33.7,,,2.48
70,2439,美律,82.9,-0.7,-0.84,07/24,-35.7,-37.5,-32.4,-23.6,-30.7,-10.5,-6.64,-12.5,-1.51,-0.62,-0.26,-6.84
71,8935,邦泰,18.65,-0.1,-0.53,07/24,-29.9,-30.7,-32.2,-29.2,-27.4,-2.73,1.95,1.07,0.42,0.29,0.14,0.59
72,00870B,元大15年EM主權債,27.87,-0.21,-0.75,07/24,0.0,-24.0,-32.2,-28.7,79.5,-12.7,6.66,97.5,95.6,75.9,,97.2
73,4114,健喬,29.55,0.2,0.68,07/24,-0.48,-29.4,-32.1,-33.0,-13.6,1.39,-2.06,-7.14,-4.47,0.38,0.12,-6.14
74,5234,達興材料,329.5,-11.0,-3.23,07/24,-45.0,-27.8,-32.0,-22.1,-19.9,-11.7,-7.99,1.61,0.2,-0.13,0.28,0.41
75,9930,中聯資源,63.4,0.3,0.48,07/24,-16.6,-40.5,-31.8,-3.85,13.5,3.72,0.79,1.28,1.11,0.22,0.08,0.71
76,1736,喬山,136.5,5.0,3.8,07/24,-24.7,-33.6,-31.6,-13.6,-6.09,3.27,2.93,1.64,-2.84,-1.34,-0.2,1.68
77,4550,長佳,24.6,0.0,0.0,07/24,0.0,-31.9,-31.5,-15.8,-16.2,0.96,0.0,0.13,-0.35,-0.24,0.2,0.0
78,3390,旭軟,23.95,-0.25,-1.03,07/24,-36.1,-34.8,-31.5,-22.7,-15.9,-6.19,-0.12,0.8,0.56,0.09,0.08,1.12
79,1591,駿吉-KY,41.4,3.75,9.96,07/24,0.0,-34.8,-31.5,-31.5,-31.5,-31.5,0.62,0.99,0.57,-0.21,-0.35,0.87
80,2204,中華,51.8,-0.2,-0.38,07/24,-31.2,-14.4,-31.4,-34.2,-22.8,-7.24,-13.5,-9.86,-7.13,-2.55,-1.17,-11.1
81,2801,彰銀,24.35,0.1,0.41,07/24,-6.56,-43.8,-31.3,-22.7,-13.8,-19.0,-7.33,-4.09,-1.73,2.23,0.7,-3.22
82,6237,驊訊,34.85,-0.15,-0.43,07/24,-31.4,-37.4,-31.3,-17.8,-7.84,-10.2,0.3,1.55,1.52,0.13,0.0,1.82
83,6962,奕力-KY,32.6,-0.35,-1.06,07/24,-23.1,-30.8,-31.1,-21.4,-28.4,-10.3,-1.34,-0.33,-0.88,,,-0.2
84,5531,鄉林,7.75,0.05,0.65,07/24,8.12,-24.4,-31.0,-5.62,-1.23,1.18,-3.9,-5.02,-5.93,-1.27,-0.45,-6.48
85,9941,裕融,81.7,-0.2,-0.24,07/24,-24.8,-29.8,-31.0,-11.8,17.8,13.5,-15.7,-8.38,-5.43,-2.17,-0.98,-8.97
86,4729,熒茂,18.85,-0.4,-2.08,07/24,-51.4,-41.4,-31.0,-10.7,-18.0,-3.27,0.13,0.02,0.04,0.0,0.0,0.31
87,3308,聯德,20.4,0.3,1.49,07/24,-21.7,-42.2,-31.0,-8.64,-8.21,-7.94,0.17,0.15,-0.21,0.07,0.08,-0.12
88,4142,國光生,17.05,0.0,0.0,07/24,-30.2,-42.5,-30.8,-21.0,-26.6,-5.97,-4.16,-5.35,0.5,-0.96,0.01,-1.52
89,00986B,FT金融債10+,9.87,0.0,0.0,07/24,100.0,-81.4,-30.8,-27.2,-13.7,25.6,27.2,48.4,,,,48.2
90,5263,智崴,96.5,-1.2,-1.23,07/24,-29.4,-30.2,-30.8,-12.5,-7.47,-1.43,4.19,2.78,-1.12,0.07,0.6,-2.56
91,6494,九齊,49.4,-0.8,-1.59,07/24,-7.13,-28.4,-30.8,-17.7,-15.8,-1.84,-0.25,0.67,0.47,0.55,0.13,0.73
92,4526,東台,30.75,-0.75,-2.38,07/24,-42.6,-31.9,-30.5,-22.7,-18.1,-2.3,2.2,0.64,0.83,-0.11,-0.18,1.38
93,5206,坤悅,20.4,-0.05,-0.24,07/24,-25.5,-34.7,-30.4,-33.2,5.66,5.3,2.49,1.55,0.53,-0.2,-1.49,1.2
94,00845B,富邦新興投等債,33.54,-0.08,-0.24,07/24,-33.3,-20.0,-30.4,-24.8,-13.2,-7.99,-4.56,49.2,33.7,44.1,,46.1
95,3038,全台,20.65,0.0,0.0,07/24,-33.8,-47.8,-30.3,-2.43,-21.0,-17.3,2.11,-0.14,3.83,0.12,0.2,1.09
96,2646,星宇航空,21.15,-0.1,-0.47,07/24,-15.3,-19.3,-30.3,5.25,16.4,8.86,10.7,3.57,-0.15,,,2.83
97,3349,寶德,23.3,-0.25,-1.06,07/24,-30.5,-36.3,-30.3,-27.7,-16.5,-11.9,1.41,-0.88,0.48,0.4,,0.3
98,8438,昶昕,65.0,-3.2,-4.69,07/24,-35.1,-27.8,-30.2,14.1,3.56,2.14,0.35,0.93,0.68,0.39,,0.85
99,5907,大洋-KY,4.87,0.02,0.41,07/24,-33.5,-28.8,-30.2,-22.1,0.21,-13.5,-0.12,-0.88,7.05,0.53,-1.74,-1.49
100,2514,龍邦,12.8,0.1,0.79,07/24,-35.6,-23.6,-30.2,-6.17,1.17,1.4,-1.24,-1.22,-5.29,0.79,-2.66,-1.56
101,00689R,國泰20年美債反1,22.77,0.09,0.4,07/24,98.1,-38.2,-30.2,-4.36,16.9,30.4,21.7,17.1,10.6,3.04,,16.4
102,2450,神腦,28.9,0.25,0.87,07/24,39.5,4.19,-30.1,-9.98,-3.52,-5.95,1.21,2.31,-6.27,-3.67,-5.95,1.5
103,1616,億泰,19.2,-0.6,-3.03,07/24,-34.6,-37.6,-30.1,-9.44,-5.97,-6.42,-5.23,-5.56,-2.67,-0.26,-0.06,-4.77
104,3023,信邦,285.0,-19.5,-6.4,07/24,-24.9,-37.0,-29.8,-28.0,-21.5,-29.0,-2.88,8.45,0.02,-5.42,0.74,7.14
105,6021,美好證,35.7,-0.55,-1.52,07/24,-26.5,-44.0,-29.8,-23.7,-19.0,-12.7,-1.03,0.06,1.84,0.99,4.06,1.63
106,3705,永信,54.3,0.5,0.93,07/24,49.1,1.48,-29.7,-10.4,20.5,13.5,5.8,-4.56,-10.5,-1.87,-1.12,-4.0
107,1612,宏泰,31.05,-0.05,-0.16,07/24,-30.1,-37.0,-29.7,-23.3,-26.6,-31.7,-8.61,-5.6,1.14,0.09,0.31,-4.98
108,2722,夏都,21.95,-0.05,-0.23,07/24,-37.9,-40.8,-29.5,-9.58,5.12,1.44,1.95,3.42,-0.33,-0.96,-0.01,1.81
109,1762,中化生,34.75,0.25,0.72,07/24,5.4,-25.4,-29.4,-23.6,-27.2,-1.25,-0.34,0.08,-1.06,-3.04,-0.02,-0.01
110,00740B,富邦全球投等債,38.06,-0.09,-0.24,07/24,1.75,2.49,-29.3,-14.0,-7.06,21.5,37.0,30.9,35.0,15.7,,33.6
111,5315,光聯,19.35,0.15,0.78,07/24,37.3,-7.28,-28.9,-20.8,-21.2,-16.8,-9.25,-8.42,-4.06,-0.02,0.15,-7.22
112,3004,豐達科,135.5,-2.5,-1.81,07/24,-17.9,-24.0,-28.8,-13.8,-8.45,3.18,1.72,2.16,-0.72,0.25,0.11,1.79
113,7803,雲象科技-創,21.15,0.2,0.95,07/24,-36.5,-31.8,-28.7,-15.6,-6.61,4.04,,,,,,
114,8083,瑞穎,156.0,-0.5,-0.32,07/24,-10.2,-31.7,-28.7,-14.0,-3.01,-2.92,-2.91,-0.2,-0.72,-0.27,-0.09,2.91
115,2832,台產,56.4,-0.3,-0.53,07/24,17.7,-27.4,-28.7,-9.5,1.86,-6.48,7.66,-2.25,2.48,0.96,0.05,-3.35
116,00959B,大華投等美債15Y+,9.32,-0.02,-0.21,07/24,-7.41,-10.7,-28.6,-26.0,-15.1,2.01,32.3,26.6,36.9,,,29.9
117,2929,淘帝-KY,5.83,-0.02,-0.34,07/24,-61.1,-39.4,-28.6,-4.49,9.14,1.79,-4.96,-1.87,-5.7,-0.13,-1.19,-1.48
118,5215,科嘉-KY,38.3,-0.6,-1.54,07/24,3.62,-28.4,-28.5,-7.39,-6.0,-3.98,1.3,1.84,1.02,0.27,0.05,1.92
119,00984B,大華優利美A債15,16.18,-0.02,-0.12,07/24,-12.7,-16.6,-28.4,-21.7,0.43,9.7,41.9,15.7,10.4,,,15.1
120,1558,伸興,90.3,0.6,0.67,07/24,-27.3,-21.8,-28.3,-8.44,-4.25,-1.39,1.12,2.23,-0.82,-0.64,-2.28,1.79
121,5210,寶碩,28.8,-0.8,-2.7,07/24,-15.1,-11.6,-28.3,-31.2,-6.63,-1.95,1.97,1.63,-0.83,0.2,0.11,1.08
122,6541,泰福-KY,38.65,-1.3,-3.25,07/24,-28.7,-44.4,-28.0,-6.28,0.03,-4.76,-0.15,-3.7,-1.45,-1.48,,-5.95
123,1720,生達,56.5,0.4,0.71,07/24,3.73,-28.2,-28.0,-18.6,-9.15,-4.52,-1.63,-1.76,2.33,-0.85,0.24,-1.15
124,5905,南仁湖,8.52,-0.06,-0.7,07/24,-8.09,-20.4,-27.9,-24.8,5.78,10.3,4.39,-2.4,-0.55,0.31,-0.04,-1.75
125,2258,鴻華先進-創,32.05,0.35,1.1,07/24,-13.7,-12.5,-27.9,0.64,13.5,-0.99,3.23,3.18,-0.27,,,1.25
126,2545,皇翔,33.3,-0.3,-0.89,07/24,-10.4,-21.7,-27.7,-6.39,-8.73,-13.4,1.75,1.93,-6.61,-0.49,-0.37,0.69
127,1540,喬福,21.45,-0.1,-0.46,07/24,-56.0,-44.1,-27.5,0.32,-3.89,-1.59,3.72,3.81,-0.45,-0.01,0.03,-1.28
128,2373,震旦行,54.0,0.6,1.12,07/24,2.27,-7.32,-27.4,-8.91,12.4,-0.5,6.41,7.43,-0.35,-3.86,-2.74,4.22
129,1568,倉佑,28.6,-0.6,-2.05,07/24,-31.6,-28.2,-27.3,-1.55,20.0,10.6,3.4,2.93,2.01,0.24,0.1,2.37
130,8429,金麗-KY,6.1,-0.02,-0.33,07/24,-14.0,-17.6,-27.2,-27.5,-3.84,-2.74,-5.28,-3.24,-1.56,-0.22,-0.04,-3.6
131,2546,根基,96.0,1.0,1.05,07/24,-8.94,-5.61,-27.1,2.42,9.38,4.37,6.5,-0.73,2.76,-0.19,0.8,1.19
132,4739,康普,81.8,-2.9,-3.42,07/24,-30.9,-26.8,-27.0,-6.63,2.84,-6.61,-0.49,-0.89,0.59,0.66,0.07,-0.26
133,2882B,國泰金乙特,58.8,0.0,0.0,07/24,-55.8,-24.1,-27.0,-2.13,-2.91,-2.06,0.22,0.59,-0.24,0.16,,0.57
134,4414,如興,8.58,0.08,0.94,07/24,-24.3,-35.0,-26.8,1.77,6.8,4.13,-2.4,-0.43,-0.25,8.52,0.64,-0.42
135,6163,華電網,41.0,-4.55,-9.99,07/24,-43.0,-29.4,-26.7,-11.0,1.5,7.74,-1.19,-1.0,-0.49,-0.2,-0.09,-0.44
136,1737,臺鹽,32.15,0.15,0.47,07/24,-1.99,-5.21,-26.6,-14.6,-6.11,-1.4,3.69,5.16,0.9,0.24,-2.54,3.35
137,6216,居易,22.0,0.0,0.0,07/24,-1.38,-29.4,-26.5,-7.04,-14.3,-14.7,-3.2,-0.67,-2.17,-0.01,-0.11,0.36
138,2239,英利-KY,20.1,0.15,0.75,07/24,-35.5,-22.3,-26.5,-10.4,-5.17,-7.09,-5.26,0.84,-1.68,-4.55,0.0,-2.55
139,00958B,永豐ESG銀行債15+,9.27,-0.03,-0.32,07/24,-0.92,-1.61,-26.5,-19.5,-20.8,-4.3,29.0,21.4,11.3,,,18.2
140,6109,亞元,11.8,0.0,0.0,07/24,-29.3,-26.9,-26.4,-13.0,-15.1,2.0,2.4,2.17,1.63,0.11,-0.05,1.9
141,8942,森鉅,37.55,-0.15,-0.4,07/24,-12.6,-37.3,-26.4,-20.1,-12.4,-5.9,3.22,1.15,0.64,0.26,0.02,0.59
142,2548,華固,98.6,-1.0,-1.0,07/24,-40.4,-33.9,-26.4,-12.8,-6.59,-1.98,-11.4,1.2,1.23,-0.54,-0.7,0.59
143,2849,安泰銀,14.75,0.2,1.37,07/24,-12.0,-9.05,-26.4,1.78,21.6,19.0,16.0,13.0,3.19,2.14,-2.35,11.8
144,00908,富邦入息REITs+,15.58,-0.08,-0.51,07/24,-39.4,-37.3,-26.3,45.6,30.0,32.5,31.7,17.2,9.87,3.57,,20.6
145,1338,廣華-KY,15.75,-0.4,-2.48,07/24,-22.5,-25.2,-26.3,-8.8,-7.21,-7.95,2.46,1.36,0.6,-0.61,-1.07,0.94
146,6153,嘉聯益,16.6,-0.25,-1.48,07/24,-42.5,-28.3,-26.2,-22.7,-18.1,-12.1,-2.37,-1.12,1.05,-0.34,0.0,-0.3
147,4438,廣越,60.8,-0.3,-0.49,07/24,9.42,-25.9,-26.2,8.3,17.2,22.4,3.16,-1.75,0.05,-1.76,,-1.11
148,2886,兆豐金,48.45,0.3,0.62,07/24,-0.66,-26.4,-26.0,-21.3,-3.48,-20.7,-14.1,-5.2,-1.82,-1.06,-2.67,-5.85
149,2201,裕隆,27.9,-0.15,-0.53,07/24,-19.6,-9.91,-25.9,-12.9,12.2,15.3,4.04,-1.06,-3.04,-1.69,-0.83,-2.9
150,009810,玉山全球藍籌100,20.65,-0.2,-0.96,07/24,-87.4,-70.1,-25.8,-10.9,-6.42,2.11,-0.84,-0.38,0.55,,,-0.3
151,6550,北極星藥業-KY,12.0,-0.1,-0.83,07/24,-2.75,-15.2,-25.8,-4.83,-8.71,-4.7,0.15,-0.51,-0.89,0.39,,-0.03
152,3551,世禾,182.5,-4.5,-2.41,07/24,-44.0,-32.0,-25.7,-20.8,0.58,0.63,-1.72,-0.84,-0.68,-0.24,-0.12,-2.29
153,2430,燦坤,17.55,-0.15,-0.85,07/24,-16.3,-30.1,-25.6,-18.7,-14.6,-10.8,-5.09,-6.51,-6.3,-3.45,-1.35,-6.38
154,00741B,富邦全球非投等債,38.0,0.18,0.48,07/24,-17.0,-14.2,-25.5,-20.0,-16.1,-1.7,6.11,9.72,5.88,1.28,,7.75
