排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 800張 以下 (%),800張 以下 增減,持股 1千張 以下 (%),1千張 以下 增減,持股 超過 1千張 (%),超過 1千張 增減
1201,2413,環科,40.8,-1.25,-2.97,26W32,08/07,47.4,0.0,49.4,0.0,50.6,0.0
1202,6028,公勝保經,83.0,0.6,0.73,26W32,08/07,49.4,0.0,49.4,0.0,50.6,0.0
1203,5312,寶島科,88.9,-1.4,-1.55,26W32,08/07,47.9,0.06,49.3,0.06,50.7,-0.06
1204,8424,惠普,69.2,0.4,0.58,26W32,08/07,44.3,0.0,49.3,0.0,50.7,0.0
1205,8410,森田,31.6,0.65,2.1,26W32,08/07,47.0,0.0,49.3,0.0,50.7,0.0
1206,3372,典範,15.6,-0.2,-1.27,26W32,08/07,48.4,0.4,49.2,0.0,50.8,0.0
1207,4924,欣厚-KY,10.1,0.1,1.0,26W32,08/07,39.3,0.48,49.2,0.0,50.8,0.0
1208,00926,凱基全球菁英55,26.95,0.07,0.26,26W32,08/07,47.2,-3.79,49.1,-2.8,50.9,2.8
1209,00410A,主動永豐科技趨勢,10.57,-0.31,-2.85,26W32,08/07,46.6,-34.5,49.0,-36.0,51.0,36.0
1210,2916,滿心,41.2,0.0,0.0,26W32,08/07,43.4,0.0,48.9,0.0,51.1,0.0
1211,3630,新鉅科,25.9,-0.05,-0.19,26W32,08/07,47.7,-0.41,48.9,0.0,51.1,0.0
1212,3511,矽瑪,20.15,0.25,1.26,26W32,08/07,47.8,0.0,48.9,0.0,51.1,0.0
1213,6895,宏碩系統,115.0,-2.0,-1.71,26W32,08/07,48.8,0.0,48.8,0.0,51.2,0.0
1214,3447,展達,28.25,-0.1,-0.35,26W32,08/07,46.6,0.0,48.8,0.0,51.2,0.0
1215,3003,健和興,62.5,1.7,2.8,26W32,08/07,47.7,-0.62,48.8,-0.09,51.2,0.09
1216,2745,五福,88.5,0.1,0.11,26W32,08/07,48.7,0.0,48.7,0.0,51.3,0.0
1217,9949,琉園,23.55,0.25,1.07,26W32,08/07,36.7,0.62,48.7,2.58,51.3,-2.58
1218,6142,友勁,9.52,-0.01,-0.1,26W32,08/07,46.8,-0.03,48.6,-0.05,51.4,0.05
1219,5519,隆大,27.95,0.2,0.72,26W32,08/07,47.9,0.0,48.6,0.0,51.4,0.0
1220,2364,倫飛,72.0,0.2,0.28,26W32,08/07,48.6,0.0,48.6,0.0,51.4,0.0
1221,00985D,主動貝萊德優投等,10.05,-0.06,-0.59,26W32,08/07,44.1,1.73,48.6,1.65,51.4,-1.65
1222,1731,美吾華,21.1,0.25,1.2,26W32,08/07,46.5,-0.02,48.6,0.0,51.4,0.0
1223,5432,新門,107.5,-0.5,-0.46,26W32,08/07,48.6,0.0,48.6,0.0,51.4,0.0
1224,4138,曜亞,51.2,0.2,0.39,26W32,08/07,48.6,0.0,48.6,0.0,51.4,0.0
1225,2537,聯上發,11.05,0.1,0.91,26W32,08/07,46.5,-0.26,48.5,0.05,51.5,-0.05
1226,6208,日揚,81.5,-0.4,-0.49,26W32,08/07,43.8,0.04,48.5,0.04,51.5,-0.04
1227,3416,融程電,191.0,4.5,2.41,26W32,08/07,46.2,-0.25,48.5,-0.25,51.5,0.25
1228,3285,微端,39.4,0.5,1.29,26W32,08/07,43.8,-0.07,48.5,-0.07,51.5,0.07
1229,6668,中揚光,34.4,-0.8,-2.27,26W32,08/07,48.4,0.05,48.4,0.05,51.6,-0.05
1230,1342,八貫,104.0,2.5,2.46,26W32,08/07,47.4,1.31,48.4,1.3,51.6,-1.3
1231,2073,雄順,26.8,0.0,0.0,26W32,08/07,37.8,-0.02,48.4,-0.02,51.6,0.02
1232,00852L,國泰美國道瓊正2,36.6,-0.96,-2.56,26W32,08/07,37.2,-3.12,48.4,-3.64,51.6,3.64
1233,2031,新光鋼,45.0,4.05,9.89,26W32,08/07,47.2,0.58,48.4,0.35,51.6,-0.35
1234,1590,亞德客-KY,1545.0,-15.0,-0.96,26W32,08/07,44.3,0.59,48.4,0.67,51.6,-0.67
1235,00682U,期元大美元指數,20.45,0.0,0.0,26W32,08/07,22.7,-0.11,48.3,0.0,51.7,0.0
1236,6118,建達,15.6,-0.15,-0.95,26W32,08/07,46.4,0.0,48.3,0.0,51.7,0.0
1237,2103,台橡,25.0,2.25,9.89,26W32,08/07,46.9,0.12,48.3,0.0,51.7,0.0
1238,6823,濾能,65.4,-1.8,-2.68,26W32,08/07,48.3,0.0,48.3,0.0,51.7,0.0
1239,4995,晶達,48.75,0.1,0.21,26W32,08/07,42.3,1.84,48.2,-0.16,51.8,0.16
1240,2428,興勤,224.5,-7.5,-3.23,26W32,08/07,45.4,1.33,48.1,0.02,51.9,-0.02
1241,00795B,中信美國公債20年,26.58,-0.27,-1.01,26W32,08/07,47.1,0.26,48.1,0.33,51.9,-0.33
1242,6767,台微醫,24.7,0.0,0.0,26W32,08/07,48.1,0.0,48.1,0.0,51.9,0.0
1243,4523,永彰,25.8,0.2,0.78,26W32,08/07,45.4,-0.05,48.1,-0.05,51.9,0.05
1244,3030,德律,290.0,-5.5,-1.86,26W32,08/07,46.6,-0.65,48.1,-0.31,51.9,0.31
1245,4306,炎洲,14.45,0.0,0.0,26W32,08/07,47.0,-0.19,48.1,-0.05,51.9,0.05
1246,3583,辛耘,693.0,-44.0,-5.97,26W32,08/07,44.7,-1.1,48.1,0.03,51.9,-0.03
1247,8171,天宇,19.5,-0.05,-0.26,26W32,08/07,45.6,0.02,48.0,0.02,52.0,-0.02
1248,4107,邦特,116.5,3.5,3.1,26W32,08/07,45.4,0.0,48.0,0.0,52.0,0.0
1249,00937B,群益ESG投等債20+,14.61,-0.12,-0.81,26W32,08/07,46.2,-0.17,48.0,-0.17,52.0,0.17
1250,5521,工信,10.15,0.0,0.0,26W32,08/07,46.9,-0.03,48.0,-0.21,52.0,0.21
1251,1101,台泥,24.35,0.0,0.0,26W32,08/07,47.0,-0.15,47.9,-0.16,52.1,0.16
1252,3010,華立,120.5,0.0,0.0,26W32,08/07,45.5,-0.21,47.9,0.11,52.1,-0.11
1253,4123,晟德,39.1,0.35,0.9,26W32,08/07,46.3,-1.01,47.9,-1.02,52.1,1.02
