"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"301","3066","李洲","23.2","-0.4","-1.69","26M04","2.09","0","25.1","0.42","19.9","0.02","0","0.22","0","0","2.11","0","25.3","0.42","19.7"
"302","3406","玉晶光","615","-14","-2.23","26M04","0.86","-22","7.66","0.17","19.7","0","0","0","0","0","0.86","-22","7.66","0.17","19.7"
"303","2613","中櫃","20.5","+0.15","+0.74","26M04","5.1","0","34.3","1","19.6","0","0","0","0","0","5.1","0","34.3","1","19.6"
"304","6411","晶焱","77.2","-2.4","-3.02","26M04","1.42","+148","14.3","0.28","19.4","0","0","0.03","0","0","1.42","+148","14.3","0.28","19.4"
"305","2436","偉詮電","69.1","-2.1","-2.95","26M04","1.2","0","6.01","0.23","19.5","0","0","0.01","0","0","1.2","0","6.02","0.23","19.5"
"306","6771","平和環保-創","41.5","0","0","26M04","0.42","0","13.4","0.08","19.2","0","0","0","0","0","0.42","0","13.4","0.08","19.2"
"307","2233","宇隆","198","-5.5","-2.7","26M04","2.03","0","33.7","0.38","18.7","0","0","0","0","0","2.03","0","33.7","0.38","18.7"
"308","1414","東和","19.5","+0.15","+0.78","26M04","3.62","0","18.3","0.69","19","0","0","0","0","0","3.62","0","18.3","0.69","19"
"309","6271","同欣電","194","-5","-2.51","26M04","1.2","0","5.74","0.23","18.8","0","0","0","0","0","1.2","0","5.74","0.23","18.8"
"310","3018","隆銘綠能","13.7","+0.05","+0.37","26M04","1.43","0","19","0","0","0.01","0","0.08","0","0","1.44","0","19","0","0"
"311","8415","大國鋼","37.5","-0.8","-2.09","26M04","59.9","+2,985","58.1","11.2","18.7","0","0","0","0","0","59.9","+2,985","58.1","11.2","18.7"
"312","2867","三商壽","9.75","+0.13","+1.35","26M04","184","0","31.2","34","18.5","0","0","0","0","0","184","0","31.2","34","18.5"
"313","1466","聚隆","17.05","+0.75","+4.6","26M04","2.66","0","24","0.5","18.6","0","0","0","0","0","2.66","0","24","0.5","18.6"
"314","9951","皇田","53","-0.3","-0.56","26M04","1.14","0","15.5","0.2","17.6","0","0","0","0","0","1.14","0","15.5","0.2","17.6"
"315","5301","寶得利","5.54","0","0","26M04","0.21","0","3.21","0.04","19.9","0.02","0","0.26","0","0","0.23","0","3.47","0.04","18.4"
"316","5381","光譜","24.05","-0.55","-2.24","26M04","8.78","-15,493","35.9","1.64","18.7","0","0","0","0","0","8.78","-15,493","35.9","1.64","18.7"
"317","5607","遠雄港","51.4","-0.8","-1.53","26M04","6.59","0","17.8","1.2","18.2","0","0","0","0","0","6.59","0","17.8","1.2","18.2"
"318","8401","白紗科","23.05","0","0","26M04","1.03","+70","14.6","0.29","18.2","0","0","0","0","0","1.03","+70","14.6","0.29","18.2"
"319","6277","宏正","84","-0.2","-0.24","26M04","1.39","0","11.7","0.25","18","0","0","0","0","0","1.39","0","11.7","0.25","18"
"320","3147","大綜","232","-2","-0.85","26M04","1.02","0","23.3","0.18","17.7","0","0","0","0","0","1.02","0","23.3","0.18","17.7"
"321","3580","友威科","85.7","+6","+7.53","26M04","0.36","-66","9.13","0.06","17.5","0","0","0","0","0","0.36","-66","9.13","0.06","17.5"
"322","4526","東台","30.75","-0.45","-1.44","26M04","3.85","0","15.1","0.62","16.1","0","0","0","0","0","3.85","0","15.1","0.62","16.1"
"323","6113","亞矽","24.65","+0.2","+0.82","26M04","1.48","+50","28.2","0.25","16.9","0","0","0.03","0","0","1.48","+50","28.2","0.25","16.9"
"324","6672","騰輝電子-KY","270","+5.5","+2.08","26M04","0.81","-9","11.3","0.07","8.18","0","0","0","0","0","0.81","-9","11.3","0.07","8.18"
"325","8462","柏文","176","-3.5","-1.95","26M04","2.85","0","36","0.48","16.8","0","0","0","0","0","2.85","0","36","0.48","16.8"
"326","4139","馬光-KY","35.1","+0.1","+0.29","26M04","0.25","0","5.76","0.04","16.8","0","0","0","0","0","0.25","0","5.76","0.04","16.8"
"327","2820","華票","16.35","+0.1","+0.62","26M04","46","0","34.2","7.68","16.7","0","0","0","0","0","46","0","34.2","7.68","16.7"
"328","6464","台數科","79","+2.1","+2.73","26M04","0.89","+192","6.94","0.13","14.9","0","0","0","0","0","0.89","+192","6.94","0.13","14.9"
"329","6606","建德工業","27.1","-0.1","-0.37","26M04","2.39","0","21.7","0","0","0.02","0","0.16","0","0","2.41","0","21.9","0","0"
"330","5871","中租-KY","111.5","-2.5","-2.19","26M04","7.59","0","4.43","1.26","16.6","0","0","0","0","0","7.59","0","4.43","1.26","16.6"
"331","4764","雙鍵","232","-13","-5.31","26M04","1.94","-10","22.7","0.32","16.5","0.01","0","0.15","0","0","1.95","-10","22.8","0.32","16.4"
"332","5312","寶島科","89.3","-0.1","-0.11","26M04","1.6","0","26.7","0.26","16.5","0","0","0","0","0","1.6","0","26.7","0.26","16.5"
"333","2312","金寶","33.75","+0.6","+1.81","26M04","13.7","+100","9.11","2.2","16","0","0","0","0","0","13.7","+100","9.11","2.2","16"
"334","3645","達邁","69.2","-0.5","-0.72","26M04","2.05","0","15","0.34","16.4","0","0","0","0","0","2.05","0","15","0.34","16.4"
"335","5371","中光電","90.1","+3.8","+4.4","26M04","2.39","0","6.11","0.39","16.3","0","0","0","0","0","2.39","0","6.11","0.39","16.3"
"336","8087","麗升能源","26.55","-0.65","-2.39","26M04","0.71","0","18.4","0","0","0","0","0","0","0","0.71","0","18.4","0","0"
"337","3015","全漢","55.2","-0.6","-1.08","26M04","5.1","0","27.2","0.83","16.2","0","0","0","0","0","5.1","0","27.2","0.83","16.2"
"338","6691","洋基工程","728","0","0","26M04","1.61","-5","13.3","0.14","8.07","0","0","0","0","0","1.61","-5","13.3","0.14","8.07"
"339","6246","臺龍","12.5","-0.35","-2.72","26M04","0.88","0","23.4","0.14","16.1","0","0","0","0","0","0.88","0","23.4","0.14","16.1"
"340","8034","榮群","18.8","-0.05","-0.27","26M04","0.56","0","9.87","0.09","16.1","0","0","0","0","0","0.56","0","9.87","0.09","16.1"
"341","2455","全新","379.5","-4.5","-1.17","26M04","1.12","-5","6.05","0.5","44.9","0","0","0","0","0","1.12","-5","6.05","0.5","44.9"
"342","4916","事欣科","106","+4.5","+4.43","26M04","1.39","0","12.6","0.22","15.8","0","0","0","0","0","1.39","0","12.6","0.22","15.8"
"343","2013","中鋼構","41.05","-0.25","-0.61","26M04","8.68","0","43.4","0","0","0","0","0","0","0","8.68","0","43.4","0","0"
"344","2606","裕民","66.3","+0.8","+1.22","26M04","34.3","0","40.6","5.4","15.7","0","0","0","0","0","34.3","0","40.6","5.4","15.7"
"345","2231","為升","102","+2.9","+2.93","26M04","3.76","0","27.6","1.24","33","0","0","0.01","0","0","3.76","0","27.7","1.24","33"
"346","6190","萬泰科","67","-1.2","-1.76","26M04","1.59","+67","8.55","0.25","15.7","0","0","0","0","0","1.59","+67","8.55","0.25","15.7"
