"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"1","4966","譜瑞-KY","819","+10","+1.24","05/14","+0.34","+1.72","+4.82","+6.4","+6.77","+5.96","+5.58","+8.72","+10.4","+4.86","+0.54","+7.03"
"2","6278","台表科","226","+20.5","+9.98","05/14","+1.27","+1.34","+1.32","+2.74","+1.83","-2.31","-3.76","-6.98","-11.7","+12.2","+12.3","-6.57"
"3","8210","勤誠","1460","-60","-3.95","05/14","+0.17","+0.78","+1.09","+2.6","+3.99","+4.89","+0.55","+2.98","+4.21","+4.89","+3.63","+2.7"
"4","3026","禾伸堂","357.5","+32.5","+10","05/14","0","0","-0.01","+2.27","+6.1","+6.25","+6.14","+6.07","+6.42","+6.63","+5.79","+6.03"
"5","3036","文曄","271.5","-12.5","-4.4","05/14","-0.03","+0.46","+1.06","+1.49","+1.27","+0.75","+1.88","+3.31","+8.05","+8.82","+10.4","+1.62"
"6","6531","愛普*","1050","+10","+0.96","05/14","+0.74","+1.51","+1.49","+1.49","+1.55","+2.09","+2.4","+1.91","+2.51","+0.03","","+0.96"
"7","6669","緯穎","5435","-145","-2.6","05/14","+0.03","+0.27","+0.82","+1.45","+1.83","+4.04","+3.28","+2.01","+1.9","+4.31","","+1.59"
"8","1582","信錦","97.8","+5.8","+6.3","05/14","+0.59","+1.05","+1.04","+1.32","+1.31","+0.48","+1.47","+1.06","-0.48","+1.6","+1.58","+1.45"
"9","2472","立隆電","231.5","-2","-0.86","05/14","+0.1","+0.11","+0.1","+1.19","+1.26","+1.7","+1.5","+1.65","+1.05","+2.26","+2.74","-0.19"
"10","5483","中美晶","152.5","+4","+2.69","05/14","-0.01","-0.01","+0.23","+1.18","+2.8","+1.49","+1.2","+0.91","-1.5","+8.35","+8.71","+1.2"
"11","6715","嘉基","487","+19","+4.06","05/14","+0.33","+0.33","+0.33","+1.1","+2.11","+3.27","+5.8","+5.8","+5.8","+4.9","","+5.8"
"12","8996","高力","1065","+40","+3.9","05/14","+0.37","+0.17","+0.72","+1.01","+0.76","+1.47","+1.58","+0.83","+2.23","+2.39","+3.58","+2.32"
"13","2327","國巨*","462","+42","+10","05/14","-0.01","+0.29","+0.37","+0.99","+1.16","+1.01","+1.06","+2.88","+2.99","+2.6","+3.16","+2.48"
"14","2481","強茂","115.5","-5.5","-4.55","05/14","+0.08","+0.7","+0.93","+0.88","+0.6","+1.25","-3.05","-4.09","+2.66","+3.69","+0.69","-3.97"
"15","2492","華新科","220","+20","+10","05/14","0","+0.39","+0.86","+0.86","+0.81","+0.81","+0.89","+0.56","+1.01","+1.16","-7.38","+1.03"
"16","3583","辛耘","929","-37","-3.83","05/14","+0.32","+0.49","+0.61","+0.85","+2.9","+2.78","+4.15","+4.08","+4.08","+4.56","-1.32","+4.15"
"17","3017","奇鋐","2555","-30","-1.16","05/14","+0.08","+0.43","+0.63","+0.84","-0.44","+0.13","+1.41","-1.25","+1.17","-10.4","+4.65","-0.94"
"18","7734","印能科技","3940","-435","-9.94","05/14","+0.45","+0.84","+0.84","+0.84","+0.8","+3.68","+5.22","+4.98","+4.99","","","+5.05"
"19","8069","元太","226","+11","+5.12","05/14","+0.7","+0.72","+0.8","+0.8","+0.8","+0.83","+0.87","+0.86","+0.57","+1.18","+1.07","+1.2"
"20","2344","華邦電","134","+12","+9.84","05/14","+0.36","+0.56","+0.73","+0.8","+1.16","+0.26","+1.53","+2.32","+6.01","+5.2","+6.06","+2.57"
"21","5439","高技","411","+37","+9.89","05/14","+0.54","+0.54","+0.63","+0.77","+1.78","+3.46","+3.08","+9.47","+11.6","+8.47","+11.7","+4.96"
"22","6831","邁科","722","+34","+4.94","05/14","+0.36","+0.75","+0.75","+0.76","+0.78","+0.57","+0.48","","","","","-0.21"
"23","6291","沛亨","509","+19.5","+3.98","05/14","0","0","0","+0.74","+1.73","+4.04","+4.68","+4.52","+5.14","+5.14","+5.14","+4.74"
"24","8155","博智","418.5","-5.5","-1.3","05/14","+0.03","+0.12","+0.19","+0.68","+2.69","+3.91","+3.59","+3.94","+3.53","+0.31","+3.88","+3.76"
"25","5289","宜鼎","1865","+100","+5.67","05/14","+0.34","+0.14","+0.01","+0.58","+1.69","+2.18","+2.48","+1.98","-0.19","+1.33","+3.36","+4.73"
"26","3624","光頡","73.2","+6.6","+9.91","05/14","+0.08","+0.57","+0.57","+0.57","+0.57","+0.57","+0.57","+0.57","+0.57","-9.7","+0.54","+0.57"
"27","7769","鴻勁","7560","+120","+1.61","05/14","-0.01","+0.34","+0.47","+0.5","+0.64","+0.61","+0.64","","","","","+0.98"
"28","2408","南亞科","341","+20","+6.23","05/14","+0.12","+0.22","+0.31","+0.49","+1.28","+1.12","-0.87","+0.83","+2.19","-1","+2.92","-0.44"
"29","1477","聚陽","223","-6","-2.62","05/14","-0.01","+0.18","+0.16","+0.48","+0.86","-0.26","+0.24","-5.34","-0.92","+5.98","+6.83","-0.8"
"30","6510","精測","4150","+375","+9.93","05/14","+0.31","-0.03","+0.38","+0.46","-0.46","+1.83","-2.66","+2.49","+4.59","+14.5","+9.69","+0.79"
"31","4749","新應材","1120","-10","-0.88","05/14","+0.16","+0.42","+0.39","+0.46","-0.62","-0.98","-1.92","-0.86","+1.64","","","-1.15"
"32","4746","台耀","53.1","+0.2","+0.38","05/14","+0.18","+0.18","+0.2","+0.43","+1.29","+1.68","+1.68","+1.68","+1.68","+0.96","-4.13","+1.68"
"33","3491","昇達科","1625","-95","-5.52","05/14","-0.08","-0.13","0","+0.41","+0.17","+0.37","+0.32","+0.41","-3.35","+5.4","+2.41","-0.11"
"34","3037","欣興","881","-11","-1.23","05/14","+0.23","+0.31","+0.46","+0.39","+0.49","+0.1","+3.05","+6.68","+8.13","+4.48","+9.83","+6.19"
"35","2337","旺宏","169","+1","+0.6","05/14","+0.03","+0.5","+0.19","+0.38","+0.27","-1.5","-1.85","+1.39","+2.88","-1.66","+6.47","+0.35"
"36","5269","祥碩","1465","+35","+2.45","05/14","0","+0.01","+0.22","+0.37","+0.4","+0.33","+0.09","+0.66","-8.77","-4.75","+0.18","+0.57"
"37","3592","瑞鼎","263","+3.5","+1.35","05/14","-0.01","-0.01","+0.01","+0.36","+1.56","+1.68","+1.7","-10.2","-8.99","+1.14","","+0.82"
"38","3008","大立光","3135","+285","+10","05/14","+0.24","+0.25","+0.37","+0.35","+0.3","-0.36","-0.81","+1.33","+0.88","+0.93","+0.88","-0.07"
"39","6223","旺矽","6290","+570","+9.97","05/14","-0.03","+0.31","+0.31","+0.34","+0.57","+0.35","+1.26","+0.25","+9.13","+16.6","+13.3","-0.29"
"40","4958","臻鼎-KY","436.5","-6","-1.36","05/14","+0.09","+0.21","+0.3","+0.33","+0.43","+1.93","+2.21","+1.88","+0.61","-0.06","+3.3","+1.78"
"41","3090","日電貿","129.5","+7","+5.71","05/14","+0.32","+0.31","+0.31","+0.31","+0.09","+0.08","-0.76","-0.44","+2.32","+3.56","+3.5","-2.6"
"42","6415","矽力*-KY","503","+35.5","+7.59","05/14","+0.08","+0.11","+0.2","+0.31","+0.28","+1.23","+0.98","+2.2","+0.97","0","-1.22","+2.21"
"43","2345","智邦","2675","+240","+9.86","05/14","+0.14","+0.17","+0.25","+0.31","+0.35","+0.74","+1.43","+1.62","+0.1","+3.15","-1.87","+0.95"
"44","2303","聯電","108","+9.6","+9.76","05/14","+0.04","+0.19","+0.26","+0.3","+0.45","+0.81","+0.93","-1.9","-2.81","+13.5","+16.6","-0.01"
"45","3227","原相","228","+5","+2.24","05/14","+0.3","+0.31","+0.31","+0.29","+0.19","-1.08","-1.24","-2.68","-1.57","+7.73","+7.83","-2.05"
"46","2049","上銀","374.5","+10","+2.74","05/14","+0.03","+0.08","+0.24","+0.28","+0.11","+0.13","-0.11","+0.15","-1.03","-2.13","+0.31","+0.21"
"47","7749","意騰-KY","500","+12","+2.46","05/14","+0.27","+0.28","+0.28","+0.28","+0.29","+0.28","+0.25","+0.09","","","","+0.31"
"48","8028","昇陽半導體","261.5","+23.5","+9.87","05/14","+0.27","+0.27","+0.27","+0.27","+0.99","+1.18","+1.16","+0.36","+1.11","+1.16","","+1.59"
"49","5536","聖暉*","1010","+60","+6.32","05/14","+0.27","+0.38","+0.34","+0.26","-0.08","-1.28","-0.28","+0.69","+4.79","+7.9","+7.78","-2.62"
"50","2059","川湖","5010","-240","-4.57","05/14","-0.02","-0.12","-0.01","+0.26","+0.61","+1.72","+2.31","-1.75","-1.93","+4.1","+5.91","-1.03"
"51","2731","雄獅","161","+1","+0.62","05/14","0","0","+0.02","+0.26","+1.16","+1.4","+1.53","+2.14","-1.23","-13.6","+0.93","+2.25"
"52","5534","長虹","76.6","-0.5","-0.65","05/14","+0.06","+0.06","+0.17","+0.25","+0.59","+0.72","+0.69","+0.7","-0.08","+0.69","-0.22","+0.7"
"53","3443","創意","5075","-255","-4.78","05/14","-0.28","-0.27","-0.07","+0.25","+1.22","+1.36","+2.37","+3.67","+3.65","-0.92","+8.46","+3.23"
"54","6782","視陽","190","+2","+1.06","05/14","+0.19","+0.2","+0.2","+0.24","+0.24","+0.17","+0.37","-0.08","+0.38","-3.01","","+0.29"
"55","2313","華通","245.5","+8.5","+3.59","05/14","+0.03","-0.08","+0.16","+0.24","+0.44","-1.27","-0.35","+2.38","+1.45","+1.19","+2.85","+1.97"
"56","5347","世界","175","+7","+4.17","05/14","+0.06","-0.03","+0.07","+0.24","+0.33","-0.96","-2.13","-7.14","-12.3","+8.34","+9.45","-5.46"
"57","2383","台光電","4920","-10","-0.2","05/14","+0.05","+0.12","+0.2","+0.23","+0.4","+0.57","+1.59","+2.12","-3.42","+0.49","+4.3","+0.96"
"58","5009","榮剛","37.5","-0.35","-0.92","05/14","0","+0.09","+0.14","+0.23","+0.23","+0.21","+0.17","+0.63","-5.2","-7.27","+0.85","+0.27"
"59","3532","台勝科","246","-0.5","-0.2","05/14","0","0","0","+0.22","+0.43","+0.54","+0.49","+1.54","+1.9","+0.29","-1.28","+1.59"
"60","3081","聯亞","2945","+110","+3.88","05/14","+0.34","+0.19","+0.27","+0.22","+0.22","-2.41","+1.79","+6.16","+9.12","+16","+13","+4.27"
"61","6526","達發","706","+3","+0.43","05/14","0","0","0","+0.21","+0.54","+0.55","+0.76","+0.67","+0.03","","","+0.74"
"62","5475","德宏","315.5","+4.5","+1.45","05/14","0","+0.21","+0.21","+0.21","+0.21","+0.23","+3.41","+3.41","+3.41","+3.41","+3.41","+3.41"
"63","6196","帆宣","435.5","+16","+3.81","05/14","0","0","0","+0.2","+0.2","+0.04","-0.04","-6.19","-3.36","+0.34","+0.3","+0.08"
"64","3711","日月光投控","548","0","0","05/14","-0.01","+0.05","+0.17","+0.2","+0.4","+0.5","+0.66","-1.3","-3.52","+1.18","","+0.66"
"65","5274","信驊","17810","-10","-0.06","05/14","+0.03","0","+0.15","+0.19","+0.56","+0.72","+2","+5.51","+5.53","+1.96","-1.65","+3.13"
"66","3374","精材","259.5","+22.5","+9.49","05/14","0","0","+0.18","+0.18","+0.22","+0.03","-0.99","+0.65","+0.44","-1.38","-1.17","+0.66"
