排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,5210,寶碩,29.1,-0.15,-0.51,571,06/01,31.3,96.3,900.0,2785.0,,,,,,
2,00936,台新永續高息中小,21.59,0.22,1.03,2527,06/01,1250.0,1250.0,406.0,200.0,636.0,440.0,1250.0,-92.9,-95.1,-84.5
3,00903,富邦元宇宙,23.25,0.42,1.84,668,06/01,-3.03,357.0,357.0,357.0,300.0,357.0,0.0,-5.88,-58.4,39.1
4,00916,國泰全球品牌50,31.09,2.53,8.86,12785,06/01,300.0,300.0,300.0,300.0,300.0,60.0,-60.0,60.0,-88.2,167.0
5,00943,兆豐電子高息等權,22.55,0.13,0.58,255,06/01,250.0,250.0,250.0,250.0,180.0,180.0,250.0,0.0,-62.2,100.0
6,00962,台新AI優息動能,16.08,0.31,1.97,4897,06/01,146.0,376.0,245.0,208.0,361.0,595.0,222.0,127.0,113.0,64.7
7,7738,東聯互動,171.0,-3.0,-1.72,62,06/01,9.33,242.0,242.0,242.0,925.0,4000.0,,,,
8,00964,中信亞太高股息,14.67,0.05,0.34,4743,06/01,208.0,208.0,204.0,213.0,247.0,26.1,327.0,1068.0,,441.0
9,7786,東方風能,114.0,-1.0,-0.87,341,06/01,40.6,40.6,181.0,,,,,,,
10,009818,華南永昌NASDAQxT,20.19,0.15,0.75,1330,06/01,450.0,450.0,175.0,175.0,175.0,175.0,,,,
11,00918,大華優利高填息30,31.41,0.95,3.12,126167,06/01,181.0,171.0,160.0,191.0,197.0,108.0,74.1,23.7,-16.7,19.6
12,00912,中信臺灣智慧50,33.1,0.16,0.49,1205,06/01,-9.09,25.0,150.0,150.0,100.0,233.0,25.0,-50.0,-97.6,-65.5
13,7711,永擎,403.5,-9.5,-2.3,1095,06/01,68.8,101.0,148.0,,,,,,,
14,00946,群益科技高息成長,15.48,0.22,1.44,9181,06/01,113.0,123.0,148.0,135.0,112.0,711.0,474.0,194.0,13.8,-14.0
15,1563,巧新,69.8,-0.1,-0.14,4931,06/01,25.0,58.6,145.0,243.0,235.0,197.0,723.0,615.0,986.0,577.0
16,3114,好德,33.6,0.5,1.51,1898,06/01,39.3,109.0,102.0,89.4,72.4,148.0,87.3,203.0,116.0,35.9
17,00932,兆豐永續高息等權,17.56,0.31,1.8,4224,06/01,0.0,100.0,100.0,100.0,100.0,-37.5,-73.7,-92.6,-95.7,-89.6
18,00900,富邦特選高股息30,19.92,0.34,1.74,14975,06/01,74.6,76.3,92.7,88.8,37.8,-21.4,-33.9,-92.2,-85.0,-82.1
19,8367,建新國際,41.0,-0.2,-0.49,22,06/01,92.3,92.3,92.3,-21.9,-7.41,-19.4,0.0,-56.9,-87.4,-50.0
20,5609,中菲行,81.5,0.2,0.25,279,06/01,-1.31,79.8,86.4,77.6,62.4,36.0,18.0,48.0,-36.0,62.4
21,3556,禾瑞亞,80.4,6.5,8.8,10871,06/01,-3.38,-8.71,85.5,69.4,59.7,41.0,263.0,225.0,137.0,225.0
22,6690,安碁資訊,187.5,0.0,0.0,618,06/01,89.4,91.4,85.4,100.0,107.0,112.0,57.5,197.0,71.2,174.0
23,00944,野村趨勢動能高息,21.0,0.4,1.94,1083,06/01,80.0,80.0,80.0,350.0,350.0,125.0,28.6,-81.6,-85.9,-77.5
24,2450,神腦,30.9,0.1,0.32,726,06/01,3.4,81.0,78.8,81.0,42.1,34.5,-30.3,60.0,192.0,63.4
25,00960,野村全球航運龍頭,17.31,0.26,1.52,1059,06/01,19.6,66.7,77.4,61.8,74.6,7.84,-80.9,-87.8,-94.6,-87.0
26,6922,宸曜,197.5,-14.5,-6.84,633,06/01,-14.7,8.39,76.3,85.6,70.2,60.1,326.0,17350.0,,1354.0
27,2729,瓦城,158.5,0.5,0.32,26,06/01,40.0,40.0,75.0,300.0,180.0,-37.8,-6.67,211.0,7.69,180.0
28,2382,廣達,400.5,28.0,7.52,151608,06/01,41.3,75.7,74.9,71.7,76.5,99.4,52.4,20.0,8.35,11.2
29,2356,英業達,80.6,3.4,4.4,295984,06/01,37.7,93.4,69.2,83.3,136.0,121.0,75.9,102.0,88.0,101.0
30,7757,金色三麥,110.0,0.0,0.0,89,06/01,66.7,66.7,66.7,150.0,150.0,,,,,
31,0055,元大MSCI金融,36.59,0.69,1.92,1213,06/01,43.5,50.8,64.8,78.0,29.0,27.1,147.0,709.0,368.0,-3.26
32,00842B,台新美元銀行債,30.5,0.09,0.3,469,06/01,0.0,0.0,62.5,62.5,,,,,,
33,6226,光鼎,13.55,0.0,0.0,3345,06/01,18.1,25.7,61.7,147.0,,,,,,
34,6862,三集瑞-KY,199.5,-14.5,-6.78,2598,06/01,2.74,18.1,57.7,44.9,52.8,52.2,14.7,104.0,768.0,81.3
35,1409,新纖,27.55,2.5,9.98,25801,06/01,-1.03,-0.58,57.3,117.0,102.0,48.3,80.3,20.6,214.0,54.1
36,6127,九豪,81.4,7.4,10.0,55155,06/01,16.8,29.0,56.6,104.0,78.8,94.7,116.0,384.0,189.0,110.0
37,8105,凌巨,21.2,1.9,9.84,44125,06/01,59.9,55.7,54.4,46.4,45.1,71.3,73.6,5.21,13.6,8.48
38,7721,微程式,75.7,-4.3,-5.38,1068,06/01,31.8,46.2,54.0,48.0,95.0,68.7,1346.0,,,
39,6224,聚鼎,83.9,-4.2,-4.77,1998,06/01,-0.55,40.6,52.4,33.2,46.5,36.5,352.0,313.0,299.0,334.0
40,6411,晶焱,100.0,-6.5,-6.1,4582,06/01,5.29,-4.9,51.9,70.0,137.0,154.0,64.7,44.9,103.0,69.6
41,2816,旺旺保,33.0,-0.3,-0.9,507,06/01,29.7,24.0,51.3,48.1,28.9,45.0,27.7,8.27,-51.9,8.55
42,4549,桓達,130.0,-6.5,-4.76,2522,06/01,13.8,19.0,50.6,58.0,56.6,56.9,32.8,12.3,80.2,23.9
43,2926,誠品生活,34.5,-0.4,-1.15,29,06/01,0.0,0.0,50.0,0.0,-25.0,-25.0,-25.0,-98.5,-98.2,-90.9
44,8424,惠普,72.9,-0.1,-0.14,34,06/01,50.0,50.0,50.0,50.0,50.0,50.0,,50.0,0.0,
45,1303,南亞,112.5,5.0,4.65,151715,06/01,38.4,45.4,49.7,37.5,25.4,34.6,34.4,19.7,272.0,-0.81
46,8435,鉅邁,55.3,-0.7,-1.25,54,06/01,19.4,48.3,48.3,79.2,169.0,760.0,438.0,-12.2,-32.8,65.4
47,00989A,主動摩根美國科技,18.35,0.13,0.71,1261,06/01,59.2,59.2,47.7,-2.38,6.49,-25.8,-78.6,-68.3,,-72.4
48,3011,今皓,14.9,0.4,2.76,6785,06/01,46.4,49.4,47.0,9.96,-16.7,-45.3,9.93,22.2,42.1,-7.62
49,3135,凌航,240.0,-10.5,-4.19,7241,06/01,21.4,36.6,44.1,114.0,173.0,,,,,
50,1235,興泰,40.95,-0.15,-0.36,14,06/01,43.3,43.1,43.1,42.9,39.3,22.4,15.9,0.1,-15.2,1.12
51,006205,富邦上証,41.1,0.47,1.16,709,06/01,25.0,25.0,42.9,122.0,122.0,66.7,-96.9,-96.4,-97.6,-95.0
52,1323,永裕,20.45,0.4,2.0,217,06/01,38.1,41.4,42.8,40.1,158.0,50.0,440.0,267.0,48.5,364.0
53,6581,鋼聯,112.5,-0.5,-0.44,35,06/01,41.7,41.7,41.7,41.7,21.4,0.0,-39.3,-34.6,-63.0,-26.1
54,00952,凱基台灣AI50,19.9,0.19,0.96,5414,06/01,8.41,78.5,41.5,-44.4,-30.5,75.1,178.0,103.0,10.5,159.0
55,5474,聰泰,187.0,-11.0,-5.56,2823,06/01,0.38,41.1,40.9,42.5,31.6,53.2,62.3,61.4,53.6,69.5
56,6214,精誠,158.0,14.0,9.72,3889,06/01,42.1,42.5,39.9,33.3,39.8,26.1,40.0,-47.6,30.4,-49.5
57,6259,百徽,26.6,0.05,0.19,505,06/01,7.64,14.0,39.1,40.8,40.8,25.2,62.7,68900.0,,65.5
58,3570,大塚,182.5,3.0,1.67,152,06/01,8.93,15.1,38.6,56.4,19.6,190.0,-12.9,,,205.0
59,2461,光群雷,17.55,0.75,4.46,2029,06/01,8.09,15.9,38.2,39.3,60.9,80.3,149.0,127.0,90.4,157.0
60,1605,華新,40.45,0.75,1.89,81788,06/01,26.2,55.0,38.2,39.0,45.0,49.4,-11.3,10.9,128.0,8.51
61,6829,千附精密,225.0,-20.5,-8.35,3161,06/01,41.4,41.3,37.9,25.0,3.38,7.84,26.2,16.4,-15.3,22.9
62,6116,彩晶,20.65,1.85,9.84,200560,06/01,-0.09,32.8,37.8,-3.36,41.1,42.6,34.2,72.5,58.5,81.0
63,1568,倉佑,48.4,-1.4,-2.81,2113,06/01,4.07,35.6,37.0,45.7,108.0,114.0,500.0,458.0,310.0,462.0
64,3029,零壹,114.5,9.0,8.53,12735,06/01,41.0,40.1,37.0,37.0,39.6,46.3,44.7,34.2,-7.85,30.5
65,1452,宏益,10.65,0.1,0.95,85,06/01,28.2,28.2,36.9,36.9,36.9,33.0,48.4,11.9,-73.0,-21.2
66,8150,南茂,98.6,-7.9,-7.42,61264,06/01,-7.3,11.2,36.4,55.2,131.0,123.0,160.0,182.0,898.0,134.0
67,4741,泓瀚,58.9,-0.4,-0.67,1055,06/01,1.16,23.7,36.1,20.6,15.5,5.48,427.0,351.0,294.0,364.0
68,8215,明基材,31.45,-0.9,-2.78,9361,06/01,33.9,39.4,36.0,43.2,37.1,71.4,222.0,308.0,365.0,287.0
69,3046,建碁,62.1,-1.9,-2.97,2792,06/01,23.2,43.4,35.9,37.4,32.9,21.5,14.1,8.8,-35.9,-4.73
70,8487,愛爾達-創,78.5,1.3,1.68,79,06/01,72.7,26.7,35.7,-24.0,-47.2,18.8,18.8,1800.0,850.0,1800.0
71,3264,欣銓,214.5,-8.5,-3.81,20620,06/01,14.7,38.6,35.5,35.8,26.7,14.0,-16.1,22.7,12.8,-44.9
72,00983A,主動中信ARK創新,12.12,-0.16,-1.3,2634,06/01,31.5,37.5,35.4,34.8,25.3,9.56,-23.7,-61.3,,-44.7
73,00636,國泰中國A50,29.31,0.58,2.02,769,06/01,9.43,9.43,34.9,75.8,52.6,-49.6,-62.3,-73.5,-95.4,-70.4
74,1215,卜蜂,117.5,-4.0,-3.29,4539,06/01,2.93,5.45,34.8,56.7,37.7,-20.5,-1.02,-41.6,-65.5,-45.9
75,4106,雃博,24.05,-0.35,-1.43,326,06/01,-1.5,21.7,34.6,34.4,45.5,65.4,64.3,49.4,33.4,56.5
76,6770,力積電,85.9,-1.1,-1.26,101253,06/01,2.53,15.1,33.3,35.0,28.4,34.7,33.5,103.0,393.0,74.1
77,00714,群益道瓊美國地產,21.11,-0.19,-0.89,437,06/01,0.0,33.3,33.3,33.3,33.3,-42.9,-98.7,-98.8,300.0,-98.7
78,00861,元大全球未來通訊,92.0,0.5,0.55,364,06/01,20.0,20.0,33.3,33.3,0.0,300.0,200.0,,140.0,200.0
79,00901,永豐智能車供應鏈,47.53,-0.15,-0.31,436,06/01,33.3,33.3,33.3,-20.0,20.0,-7.69,-88.1,-98.2,-14.3,-96.9
80,00963,中信全球高股息,12.66,0.01,0.08,1123,06/01,33.3,33.3,33.3,71.4,9.09,50.0,-14.3,300.0,-40.0,300.0
81,2357,華碩,920.0,83.0,9.92,11557,06/01,22.4,33.1,33.3,24.6,11.9,4.46,-11.1,56.7,133.0,33.4
82,2434,統懋,35.9,-1.25,-3.36,283,06/01,-28.1,-35.9,32.3,128.0,78.3,78.3,36.7,-29.3,925.0,51.9
83,6958,日盛台駿,17.45,0.05,0.29,58,06/01,4.73,32.1,32.1,67.0,90.3,142.0,62.4,157.0,832.0,164.0
84,2474,可成,245.5,22.0,9.84,21180,06/01,29.2,34.1,31.9,106.0,106.0,36.7,746.0,684.0,539.0,465.0
85,5209,新鼎,174.5,3.0,1.75,62,06/01,20.8,38.1,31.8,70.6,81.2,93.3,-45.3,20.8,,-23.7
86,6284,佳邦,110.0,-6.0,-5.17,9918,06/01,3.53,19.7,30.1,77.7,158.0,152.0,217.0,94.0,94.3,120.0
87,6128,上福,20.2,0.7,3.59,362,06/01,34.4,30.1,30.1,51.5,79.6,89.7,227.0,136.0,-22.2,136.0
88,4935,茂林-KY,42.35,0.7,1.68,574,06/01,4.85,30.4,30.1,33.9,48.6,50.5,-14.9,-11.9,14.3,-11.0
89,2480,敦陽科,159.5,-1.5,-0.93,1247,06/01,32.1,32.4,29.8,32.7,32.7,6.72,17.4,198.0,66.6,83.8
90,8182,加高,43.2,-1.15,-2.59,2482,06/01,-8.32,-2.62,29.4,53.1,39.6,66.2,352.0,288.0,174.0,295.0
91,6016,康和證,32.5,2.3,7.62,20715,06/01,10.3,22.5,29.2,0.67,2.95,32.2,36.8,661.0,268.0,697.0
92,00685L,群益臺灣加權正2,303.25,1.6,0.53,5867,06/01,10.7,15.1,29.1,86.8,242.0,290.0,228.0,211.0,35.6,325.0
93,6213,聯茂,273.0,-22.0,-7.46,26520,06/01,16.3,20.1,28.9,26.4,34.3,36.0,-17.4,-8.64,78.7,-0.72
94,00905,FT臺灣Smart,27.64,-0.12,-0.43,1843,06/01,-0.47,13.8,28.9,27.4,24.4,23.0,33.8,-41.2,-73.4,-28.7
95,4433,興采,20.75,-0.35,-1.66,47,06/01,3.73,3.73,28.7,107.0,112.0,55.3,34.3,74.8,261.0,49.5
96,00934,中信成長高股息,28.89,0.7,2.48,4635,06/01,2.87,31.8,28.2,43.3,23.8,219.0,181.0,-75.4,-70.8,-75.5
97,5011,久陽,18.8,-0.55,-2.84,712,06/01,0.96,26.4,28.2,55.5,120.0,132.0,44.4,40.7,7.35,44.4
98,6005,群益證,41.25,1.65,4.17,21818,06/01,10.9,20.4,28.1,35.3,10.5,5.35,90.1,122.0,654.0,165.0
99,00690,兆豐藍籌30,80.6,-0.45,-0.56,883,06/01,-0.97,8.51,27.5,17.2,25.9,209.0,500.0,467.0,18.6,629.0
100,0051,元大中型100,145.2,0.2,0.14,122,06/01,-22.2,-17.6,27.3,-77.8,-72.0,600.0,600.0,180.0,,600.0
101,00697B,元大美債7-10,35.53,0.17,0.48,463,06/01,0.0,0.0,27.3,27.3,27.3,180.0,180.0,-26.3,-85.3,-33.3
102,00715L,期街口布蘭特正2,53.7,1.15,2.19,10208,06/01,4.08,3.09,27.0,32.1,47.3,82.5,39.0,-82.1,-78.9,-64.9
103,5410,國眾,41.25,-0.5,-1.2,1703,06/01,3.39,17.2,27.0,21.3,28.9,26.3,6.72,-5.0,-10.9,-4.41
104,4555,氣立,53.9,-2.7,-4.77,1683,06/01,-2.51,-3.78,26.9,18.4,51.4,53.8,43.0,27.4,112.0,24.0
105,7717,萊德光電-KY,646.0,-23.0,-3.44,342,06/01,11.8,25.1,26.7,81.7,,,,,,
106,00991A,主動復華未來50,19.81,-0.14,-0.7,134214,06/01,4.52,21.6,26.1,28.3,27.7,68.4,49.4,,,-10.8
107,4729,熒茂,26.1,0.9,3.57,2309,06/01,13.6,24.8,25.9,22.9,28.8,30.9,22.5,21.2,65.1,7.69
108,00919,群益台灣精選高息,30.3,0.3,1.0,258252,06/01,13.6,20.7,25.8,35.7,54.8,37.0,119.0,-12.4,-46.8,29.9
109,8473,山林水,56.0,0.6,1.08,12715,06/01,8.06,21.4,25.7,25.7,5.9,1.64,0.62,-11.0,-20.5,-9.97
110,00652,富邦印度,31.71,-0.2,-0.63,532,06/01,0.0,4.26,25.6,22.5,25.6,48.5,-42.4,2.08,-35.5,-25.8
111,4953,緯軟,135.5,3.5,2.65,3198,06/01,29.9,26.9,25.5,26.2,36.6,45.4,22.1,17.6,-42.7,-4.25
112,5381,光譜,26.6,0.05,0.19,996,06/01,23.1,28.5,25.5,22.3,14.7,60.2,,,,
113,2420,新巨,63.8,0.1,0.16,698,06/01,-3.56,0.06,25.3,46.7,98.6,182.0,207.0,196.0,211.0,191.0
114,2478,大毅,143.0,-1.0,-0.69,3195,06/01,1.27,15.1,24.5,17.5,128.0,178.0,122.0,126.0,491.0,132.0
115,4972,湯石照明,16.5,-0.05,-0.3,43,06/01,25.2,25.2,24.1,24.1,24.1,19.6,41.1,20.7,67.5,25.2
116,00830,國泰費城半導體,90.55,0.15,0.17,8964,06/01,2.96,21.7,23.9,28.1,32.3,84.2,-26.5,144.0,1.37,143.0
117,00935,野村臺灣新科技50,62.0,-0.4,-0.64,23958,06/01,10.8,25.0,23.8,-0.48,80.1,158.0,68.3,698.0,418.0,680.0
118,4530,宏易,26.5,2.0,8.16,197,06/01,0.0,5.0,23.5,16.7,50.0,133.0,,,,
119,5471,松翰,52.6,-0.5,-0.94,2374,06/01,4.18,8.58,23.4,29.4,55.3,113.0,77.8,159.0,173.0,189.0
120,8454,富邦媒,265.5,24.0,9.94,5770,06/01,-10.9,2.64,23.2,22.5,39.4,21.9,35.4,71.1,87.0,78.0
121,1730,花仙子,52.6,0.1,0.19,71,06/01,0.0,0.0,23.1,100.0,129.0,77.8,129.0,167.0,-68.0,167.0
