排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 年度,政府 機構 (%),政府 機構 增減,僑外 投資 (%),僑外 投資 增減,本國金 融機構 (%),本國金 融機構 增減,本國 法人 (%),本國 法人 增減,本國 個人 (%),本國 個人 增減,庫藏 股票 (%),庫藏 股票 增減
301,8284,三竹,62.0,-0.6,-0.96,2026,0.0,0.0,0.89,-0.01,2.25,2.04,23.7,2.19,73.2,-4.23,0.01,0.01
302,3515,華擎,209.5,11.0,5.54,2026,0.0,0.0,7.6,-3.27,1.29,-0.91,60.0,-0.29,31.1,4.46,0.01,0.01
303,6461,益得,15.8,0.2,1.28,2026,4.14,-1.21,0.81,0.16,0.0,0.0,50.3,6.93,44.7,-5.89,0.01,0.01
304,8462,柏文,166.5,2.5,1.52,2026,0.0,0.0,3.93,2.1,0.33,0.12,35.3,-0.88,60.5,-1.3,0.01,-0.04
305,6182,合晶,104.0,7.1,7.33,2026,0.0,0.0,8.95,-0.29,0.55,-0.98,4.12,-1.46,86.4,2.72,0.01,0.01
306,5381,光譜,24.15,0.55,2.33,2026,0.0,0.0,0.85,0.34,0.64,-0.24,43.1,-1.67,55.4,1.57,0.01,0.01
307,2332,友訊,22.9,-0.95,-3.98,2026,0.05,-0.14,11.0,-3.67,0.0,0.0,21.1,-2.19,67.9,5.99,0.01,0.0
308,2374,佳能,69.3,1.9,2.82,2026,0.0,0.0,5.04,-1.07,0.51,-0.13,18.3,-3.96,76.2,5.16,0.0,0.0
309,3014,聯陽,130.0,2.0,1.56,2026,1.23,-0.06,18.8,-7.85,7.55,-5.29,12.4,0.23,60.1,13.0,0.0,0.0
310,2891,中信金,66.0,1.2,1.85,2026,0.0,0.0,33.6,1.6,28.1,2.72,15.0,-0.65,23.3,-3.66,0.0,-0.01
311,4938,和碩,89.5,1.1,1.24,2026,0.0,0.0,31.2,-0.72,12.0,-4.65,22.1,-0.04,34.7,5.4,0.0,0.0
312,2063,世鎧,23.7,0.0,0.0,2026,0.0,0.0,0.96,-0.41,0.04,0.04,41.6,0.99,57.4,2.4,0.0,-3.02
313,2305,全友,29.35,-3.25,-9.97,2026,0.0,0.0,3.32,1.24,0.0,0.0,62.7,-4.89,34.0,3.65,0.0,0.0
314,6138,茂達,289.5,-6.0,-2.03,2026,0.0,0.0,16.0,0.81,4.07,-5.19,34.0,26.8,46.0,-21.7,0.0,-0.64
315,3189,景碩,828.0,61.0,7.95,2026,0.0,0.0,16.4,5.06,9.64,0.87,42.9,3.23,31.1,-9.15,0.0,-0.01
