排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 年度,政府 機構 (%),政府 機構 增減,僑外 投資 (%),僑外 投資 增減,本國金 融機構 (%),本國金 融機構 增減,本國 法人 (%),本國 法人 增減,本國 個人 (%),本國 個人 增減,庫藏 股票 (%),庫藏 股票 增減
1201,4714,永捷,10.0,0.12,1.21,2026,0.0,0.0,2.38,0.68,0.0,0.0,13.4,0.27,84.2,-0.94,0,0.0
1202,4716,大立,16.35,-0.05,-0.3,2026,0.0,0.0,2.63,-0.61,0.0,0.0,17.9,6.59,79.5,-5.98,0,0.0
1203,4720,德淵,17.5,-0.75,-4.11,2026,0.0,-0.1,5.12,-3.67,0.0,0.0,11.9,0.61,83.0,3.17,0,0.0
1204,4721,美琪瑪,63.0,-2.0,-3.08,2026,0.0,0.0,3.25,1.82,0.64,-0.03,11.9,-0.21,84.2,-1.58,0,0.0
1205,4722,國精化,160.5,-6.0,-3.6,2026,0.0,0.0,4.39,-2.19,1.64,1.51,23.2,0.2,70.8,0.48,0,0.0
1206,4726,永昕,24.15,-0.35,-1.43,2026,0.0,0.0,20.9,-0.51,0.0,0.0,27.0,-0.29,52.2,0.8,0,0.0
1207,4728,雙美,381.0,3.0,0.79,2026,0.0,0.0,19.0,1.73,0.0,-0.08,44.0,0.25,37.0,-1.9,0,0.0
1208,4729,熒茂,17.5,-0.15,-0.85,2026,0.0,0.0,1.01,-1.51,0.0,0.0,45.4,1.7,53.6,-0.19,0,0.0
1209,4736,泰博,127.0,-2.5,-1.93,2026,0.0,0.0,6.4,-3.11,1.97,-1.25,15.0,-0.02,76.7,4.38,0,0.0
1210,4737,華廣,56.2,-2.1,-3.6,2026,0.0,0.0,28.7,7.27,0.84,0.84,16.0,-2.12,54.4,-5.98,0,0.0
1211,4739,康普,69.1,-2.4,-3.36,2026,0.0,0.0,11.6,9.28,0.68,0.27,29.5,-0.61,58.3,-8.62,0,-0.32
1212,4741,泓瀚,38.45,-0.55,-1.41,2026,0.0,0.0,1.21,0.24,0.02,-0.25,34.0,-5.62,64.7,5.63,0,0.0
1213,4743,合一,41.15,-1.1,-2.6,2026,0.62,-0.31,6.24,-2.07,0.01,-0.01,23.4,-0.33,69.7,2.71,0,0.0
1214,4745,合富-KY,10.4,-0.4,-3.7,2026,0.0,0.0,13.0,-1.34,0.1,0.0,2.98,0.01,84.0,1.33,0,0.0
1215,4746,台耀,49.35,-0.35,-0.7,2026,0.0,0.0,10.8,1.22,2.91,-5.14,13.9,0.23,72.4,3.69,0,0.0
1216,4747,強生,48.6,-1.35,-2.7,2026,0.0,0.0,0.57,-1.01,0.0,0.0,29.4,7.16,70.0,-6.15,0,0.0
1217,4749,新應材,672.0,8.0,1.2,2026,1.24,1.24,9.54,5.92,6.58,5.25,16.3,-1.23,66.3,-11.2,0,0.0
1218,4754,國碳科,36.25,0.15,0.42,2026,0.0,0.0,0.19,-0.19,0.0,0.0,36.4,0.14,63.4,0.05,0,0.0
1219,4755,三福化,103.5,-2.5,-2.36,2026,0.0,0.0,23.5,2.3,0.99,-2.21,32.5,-0.96,43.0,0.87,0,0.0
1220,4760,勤凱,197.5,-7.5,-3.66,2026,0.0,0.0,11.7,8.21,0.43,0.06,16.2,3.62,71.6,-11.9,0,0.0
1221,4763,材料*-KY,47.6,0.6,1.28,2026,0.07,0.07,46.9,-5.87,4.86,-0.85,2.25,-1.6,45.9,8.25,0,0.0
1222,4764,雙鍵,236.5,-16.5,-6.52,2026,0.0,0.0,31.1,7.72,0.04,0.04,21.0,-6.36,47.9,-1.4,0,0.0
1223,4766,南寶,308.5,-1.5,-0.48,2026,0.0,0.0,15.8,-4.18,7.8,-2.26,55.2,-0.39,21.2,6.83,0,0.0
1224,4767,誠泰科技,26.2,0.0,0.0,2026,0.0,0.0,0.05,-0.11,2.51,0.0,38.0,0.42,59.4,-0.31,0,0.0
1225,4768,晶呈科技,259.0,-11.5,-4.25,2026,0.0,0.0,5.04,1.17,0.0,0.0,9.71,1.5,85.3,-2.66,0,0.0
1226,4770,上品,212.0,-0.5,-0.24,2026,0.0,-1.03,7.12,-2.99,0.67,-3.62,37.9,0.37,54.3,7.27,0,0.0
